"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","122","118","55","203","250","173","60","89","145","171","159","88","168","166","30","129","85","125","209","73","115","14","56","252","203","46","67","134","69","184","5","213","107","215","252","198","14","21","141","206","100","118","186","190","165","102","89","30","224","89","76","180","41","32","202","52","205","130","137","165","33","243","147","69","17","3","99","69","208","123.75","104.25","122.5","144.5"
"1","122","118","55","203","250","173","60","89","145","171","159","88","168","166","30","129","85","125","209","73","115","14","56","252","203","46","67","134","69","184","5","213","124","215","252","198","14","21","141","206","100","118","186","190","165","102","89","30","224","89","76","180","41","32","202","52","205","130","137","165","33","243","147","69","17","3","99","69","208","76.33333333333333","0.0","31.5","197.5"
"2","122","118","55","203","250","173","60","89","145","171","159","88","168","166","30","129","85","125","209","73","115","14","56","252","203","46","67","134","69","184","5","213","124","215","252","198","14","21","141","206","72","118","186","190","165","102","89","30","224","89","76","180","41","32","202","52","205","130","137","165","33","243","147","69","17","3","99","69","208","13.0","0.0","0.0","39.0"
"3","122","3","55","203","250","173","60","89","145","113","159","88","168","166","30","129","85","125","209","73","115","14","56","252","203","46","67","134","69","184","5","213","124","215","252","198","14","21","141","206","100","118","186","190","165","102","89","30","224","89","76","180","41","32","202","52","205","130","137","165","33","243","147","69","17","3","99","69","208","27.666666666666668","0.0","19.0","64.0"
"4","122","118","55","203","250","173","60","95","145","48","159","88","168","166","40","129","85","125","209","73","115","14","56","252","203","46","67","134","69","184","5","213","124","215","252","198","14","21","141","206","100","112","186","190","165","102","89","30","224","89","76","180","41","32","202","52","205","130","137","165","33","243","147","69","17","3","99","69","208","40.666666666666664","27.0","95.0","0.0"
"5","220","199","54","204","124","254","39","158","111","142","145","147","207","22","182","105","0","205","254","115","227","241","50","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","225","96","188","246","111","115","86","182","162","65.16666666666667","0.0","195.5","0.0"
"6","220","199","54","204","124","254","39","158","111","142","145","147","207","22","19","105","0","205","254","115","227","241","50","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","225","96","188","246","111","115","86","182","162","254.33333333333334","353.25","368.25","41.5"
"7","220","199","54","204","124","254","39","158","111","142","145","147","207","22","19","105","0","205","254","115","227","241","50","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","225","96","188","246","111","115","86","182","162","161.08333333333334","129.75","118.75","234.75"
"8","220","199","54","204","124","254","162","158","111","142","145","147","207","22","19","105","0","205","254","115","151","241","50","45","209","73","164","24","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","183","38","204","122","198","178","130","46","36","178","122","248","65","226","17","225","96","188","246","111","115","86","182","162","20.666666666666668","55.75","0.0","6.25"
"9","220","199","54","204","124","254","39","158","111","142","145","147","207","22","19","105","0","205","254","115","227","241","51","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","225","96","188","171","111","115","86","182","162","77.08333333333333","0.0","161.0","70.25"
