"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","166","254","140","143","129","138","21","59","11","143","153","73","33","108","125","215","138","179","30","59","230","207","133","231","146","127","33","1","254","97","98","1","184","88","141","30","106","2","96","149","253","204","85","161","181","192","183","122","96","31","113","92","174","105","104","142","120","234","211","60","96","90","251","179","190","9.333333333333334","0.0","28.0","0.0"
"1","219","188","189","120","208","187","205","230","251","119","72","101","61","217","220","253","237","144","233","223","156","104","248","255","27","19","250","74","61","139","144","151","156","40","1","155","184","127","61","55","10","93","197","49","217","221","78","125","53","209","235","73","117","21","55","22","34","229","137","41","85","204","88","108","66","100.75","10.0","75.25","217.0"
"2","20","131","177","160","105","152","235","187","111","195","25","85","209","6","152","14","170","217","235","215","244","57","251","84","22","85","67","151","204","148","24","10","225","23","249","221","57","131","251","117","44","42","180","30","56","167","94","251","198","127","21","226","13","19","180","0","153","108","187","165","146","57","61","19","38","29.75","0.0","65.25","24.0"
"3","206","167","63","157","67","131","26","231","1","244","209","148","115","176","145","2","90","233","226","241","213","163","114","103","80","50","201","128","12","127","91","71","206","51","14","126","131","71","55","143","191","154","26","235","220","162","9","28","100","237","83","79","42","15","181","97","33","101","231","162","124","39","96","175","88","125.16666666666667","82.0","24.25","269.25"
"4","150","150","220","219","163","100","203","112","213","40","250","57","167","66","228","166","218","248","244","46","157","118","45","2","47","151","59","227","87","191","218","36","116","249","222","45","181","71","170","19","129","171","219","9","133","59","156","160","60","65","51","5","191","49","43","102","255","48","156","107","20","170","193","156","94","49.333333333333336","145.0","0.0","3.0"
"5","122","241","190","129","151","119","131","83","42","102","14","210","27","246","134","10","208","247","191","38","167","236","188","152","151","87","59","13","253","167","104","229","56","236","65","160","3","26","35","27","225","233","111","223","245","228","131","234","59","39","133","40","248","31","176","100","250","255","213","163","103","74","19","90","202","0.0","0.0","0.0","0.0"
"6","171","0","60","222","254","125","41","233","40","52","211","82","237","173","47","92","58","64","117","206","84","187","189","16","76","222","114","83","128","60","151","50","78","173","76","48","121","149","83","179","219","94","110","70","17","190","207","239","59","127","229","232","110","209","90","251","173","226","169","88","165","125","236","223","13","14.083333333333334","0.0","0.0","42.25"
"7","102","119","116","84","40","250","26","175","102","50","172","107","16","95","84","114","239","78","212","58","65","173","95","22","137","46","68","175","181","13","115","162","244","156","252","117","219","225","143","146","188","130","219","244","178","178","34","161","117","180","197","109","3","126","163","109","142","7","116","249","110","111","171","14","43","0.0","0.0","0.0","0.0"
"8","18","21","224","122","212","177","110","173","9","252","212","160","151","149","85","199","105","64","222","27","200","61","117","73","135","62","233","88","169","251","108","58","171","182","169","22","248","44","133","31","49","196","204","152","91","71","151","171","81","251","215","161","142","241","121","255","196","35","67","8","238","228","229","244","62","2.6666666666666665","8.0","0.0","0.0"
"9","222","83","103","235","115","89","68","53","75","198","121","177","32","79","20","133","210","182","174","16","48","124","30","145","174","54","207","210","203","152","39","198","119","27","225","62","236","52","54","130","45","163","100","70","29","253","172","255","204","82","214","52","225","17","37","139","182","57","234","114","71","195","175","203","26","0.0","0.0","0.0","0.0"
