"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","31","178","87","209","13","144","90","174","168","6","137","149","7","232","178","58","79","181","42","110","153","87","170","235","43","135","152","20","244","69","183","70","95","75","137","50","143","35","24","61","188","248","4","72","54","51","224","173","252","231","217","168","130","150","106","191","75","87","132","94","252","0","127","142","25","38","212","3","41","0.0","0.0","0.0","0.0"
"1","31","178","87","209","13","144","90","174","168","6","137","149","7","232","178","58","79","181","42","110","153","132","170","235","43","135","152","20","244","69","183","70","237","75","137","50","143","35","24","61","188","248","4","72","54","51","224","173","252","231","217","168","130","150","106","191","75","87","132","94","252","0","127","142","25","38","212","3","41","105.33333333333333","0.0","154.75","161.25"
"2","31","178","87","209","13","144","90","174","168","6","137","149","7","232","178","58","79","54","42","110","153","166","170","235","43","135","152","20","244","69","183","70","95","75","137","50","143","35","24","61","188","248","4","72","54","51","224","173","252","231","217","168","130","150","106","191","75","87","132","94","36","0","127","142","25","38","212","103","41","62.833333333333336","0.0","188.5","0.0"
"3","31","178","87","209","13","144","90","174","168","6","137","149","7","232","173","58","79","181","42","110","153","87","170","235","43","135","152","20","244","69","183","70","95","75","137","50","143","35","24","61","188","248","4","72","54","51","224","173","252","231","217","168","130","150","106","191","75","87","132","94","252","0","127","142","25","38","212","3","41","32.666666666666664","98.0","0.0","0.0"
"4","31","178","87","209","13","144","90","174","168","6","137","149","7","232","178","58","79","181","42","110","153","87","170","235","43","135","152","20","244","69","183","70","95","75","137","50","143","35","24","61","188","248","4","72","54","51","224","173","252","231","217","168","130","150","106","191","75","87","132","94","252","0","127","142","25","38","212","3","41","0.0","0.0","0.0","0.0"
"5","220","6","61","165","159","119","76","97","197","15","132","8","116","52","93","65","178","119","58","7","242","205","189","246","156","81","44","7","170","201","189","117","242","24","196","189","252","121","103","75","62","172","96","134","48","143","56","87","91","88","191","243","97","211","171","186","168","255","209","119","111","205","236","207","229","6","172","148","208","0.0","0.0","0.0","0.0"
"6","220","6","61","165","159","119","76","97","197","15","132","8","116","52","93","147","178","119","58","7","242","205","189","246","156","81","44","7","170","201","189","117","242","24","196","189","252","121","103","75","62","172","96","134","48","143","56","87","91","19","191","243","97","211","171","186","168","255","209","119","111","205","236","207","229","6","172","148","94","10.583333333333334","0.0","0.0","31.75"
"7","220","6","61","165","159","119","76","97","197","15","132","8","116","52","93","147","178","119","58","7","242","205","189","246","156","81","44","7","170","201","189","117","242","24","196","189","252","190","103","75","62","172","96","134","48","143","56","87","91","19","191","243","97","211","171","186","168","255","209","119","111","205","236","207","229","6","172","148","208","0.0","0.0","0.0","0.0"
"8","220","6","61","165","159","119","76","97","197","15","132","8","116","52","93","147","88","119","58","7","242","205","189","246","156","81","44","7","189","201","189","117","242","24","196","189","252","121","103","75","62","172","96","134","48","143","56","87","91","19","191","43","97","211","171","186","168","255","209","119","111","205","236","207","229","6","172","148","208","0.0","0.0","0.0","0.0"
"9","220","6","209","165","159","119","76","97","197","15","132","8","116","52","93","147","178","119","58","7","242","205","189","246","156","81","44","7","170","201","189","117","242","24","196","189","252","121","103","194","62","172","96","134","48","143","56","87","91","19","191","243","97","211","171","186","168","255","209","119","111","205","236","207","229","6","172","148","208","0.0","0.0","0.0","0.0"
