"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","47","44","254","137","112","147","101","101","34","95","76","27","207","61","157","250","255","23","162","79","94","70","81","49","212","216","87","232","173","70","3","83","245","135","25","83","172","209","162","91","235","12","188","72","148","3","46","25","88","56","50","82","62","33","7","110","55","199","166","58","218","161","67","60","65","0.0","0.0","0.0","0.0"
"1","47","44","254","137","112","147","101","101","34","95","76","27","207","61","157","250","255","23","162","79","94","70","81","49","212","237","87","232","173","70","3","83","245","135","25","83","172","209","162","91","235","12","188","72","118","3","46","25","88","56","50","82","62","167","7","110","55","199","166","58","218","161","67","60","65","0.0","0.0","0.0","0.0"
"2","47","44","254","137","112","147","101","101","34","95","76","27","207","61","157","239","255","23","162","79","94","70","81","156","212","237","87","232","173","70","3","83","245","135","25","83","172","209","162","91","235","12","188","72","118","3","46","25","88","56","50","82","62","167","7","110","55","199","166","58","218","161","67","60","65","70.58333333333333","0.0","211.75","0.0"
"3","47","44","254","137","112","147","81","101","34","95","76","27","207","61","157","250","255","23","162","79","94","70","81","49","212","237","87","232","173","70","3","83","245","135","25","83","172","209","162","91","235","198","188","72","118","3","46","174","88","56","50","82","62","167","7","110","55","199","166","58","218","161","67","60","65","0.0","0.0","0.0","0.0"
"4","47","44","254","137","112","147","101","101","34","95","76","27","207","61","157","250","255","23","162","79","94","70","81","49","212","237","87","232","173","70","3","83","245","135","25","83","172","209","162","91","235","12","188","72","118","3","46","25","88","56","50","82","70","167","7","110","55","199","166","58","218","161","67","60","65","0.0","0.0","0.0","0.0"
"5","184","52","222","174","107","90","203","228","99","21","45","113","214","187","14","252","9","106","251","154","68","34","169","140","84","239","214","244","235","60","65","225","225","11","74","121","242","106","92","113","72","137","253","120","121","142","78","227","95","109","57","190","78","61","91","106","188","228","116","180","84","174","85","57","31","37.333333333333336","0.0","34.5","77.5"
"6","184","52","222","174","107","90","203","228","99","21","45","113","214","187","14","252","9","106","251","154","68","34","169","140","84","239","214","244","235","60","65","225","225","11","74","121","242","106","214","113","127","137","253","120","121","98","78","227","95","109","57","190","78","61","91","106","188","228","116","180","84","154","85","57","31","0.0","0.0","0.0","0.0"
"7","184","52","222","174","107","90","203","228","99","21","45","113","214","26","14","252","9","106","251","154","68","34","169","140","84","239","214","244","235","60","65","225","225","11","74","121","242","106","92","113","72","137","253","120","121","98","78","227","95","109","57","190","78","61","91","106","188","228","116","180","84","154","85","57","31","30.333333333333332","0.0","91.0","0.0"
"8","184","52","222","174","107","90","203","228","99","21","45","113","214","187","14","252","9","106","251","154","68","34","169","140","84","239","214","244","235","60","65","225","225","11","74","121","242","106","13","113","72","137","230","120","121","98","78","227","95","109","57","190","78","61","91","106","188","228","116","180","84","154","85","57","31","25.083333333333332","0.0","0.0","75.25"
"9","184","52","222","174","107","90","203","228","99","21","45","113","214","187","14","252","9","106","251","154","68","34","169","140","30","239","214","244","235","60","65","225","225","11","74","121","242","106","92","113","72","137","253","120","121","98","78","227","95","109","57","190","78","61","91","106","188","228","116","180","84","154","85","57","31","26.75","0.0","52.75","27.5"
