"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","201","102","57","102","62","0","30","108","120","0","169","146","150","141","38","20","23","12","178","213","167","165","129","239","236","37","212","232","199","191","185","203","194","148","11","253","195","88","0","12","120","162","215","84","3","196","162","157","121","152","221","10","29","149","90","150","194","75","122","204","73","241","16","172","11","215","188","237","25","213.0","154.75","388.0","96.25"
"1","238","203","240","98","164","145","65","125","53","165","133","223","206","64","250","135","172","206","252","0","76","141","71","191","181","192","154","178","147","208","102","190","203","254","106","82","221","108","216","151","204","231","24","111","50","20","15","75","179","226","212","152","222","234","93","212","114","181","176","126","163","90","158","216","248","17","13","205","41","0.0","0.0","0.0","0.0"
"2","148","225","155","189","230","114","2","9","107","71","47","75","98","108","117","227","44","122","120","185","141","35","27","187","101","204","32","183","135","114","119","149","223","76","222","139","50","119","93","109","214","7","53","150","158","234","42","46","203","204","58","238","33","17","154","42","129","251","151","197","223","223","220","61","211","83","212","180","149","41.0","35.25","41.0","46.75"
"3","107","188","127","70","227","53","100","80","103","247","167","42","6","47","86","229","110","93","14","42","23","104","184","68","174","123","12","104","172","116","208","27","12","87","167","8","158","94","32","131","255","202","70","48","0","38","84","82","179","113","206","105","86","225","82","193","199","59","136","49","21","82","8","144","247","24","140","187","128","0.0","0.0","0.0","0.0"
"4","154","149","171","253","200","36","120","190","14","182","175","3","172","69","85","244","67","171","139","240","79","21","118","103","19","100","239","235","122","146","147","226","25","226","213","237","66","44","120","170","179","10","214","89","113","188","133","10","157","90","195","64","213","246","71","201","183","125","227","211","28","253","149","180","231","99","44","188","117","62.75","22.75","92.75","72.75"
"5","47","193","112","2","4","137","245","2","21","17","169","47","119","111","198","98","85","231","222","218","143","194","238","192","226","124","92","10","61","165","190","44","138","128","77","84","7","190","124","3","148","138","25","73","124","155","225","99","62","224","38","215","231","115","157","97","241","159","133","20","216","58","111","239","144","46","130","234","138","95.08333333333333","0.0","0.0","285.25"
"6","178","198","149","1","102","113","14","68","22","150","249","88","204","30","254","109","173","240","179","75","110","59","51","35","161","48","251","17","49","53","198","35","110","123","247","143","62","58","38","161","152","12","51","58","200","27","44","249","145","243","226","207","150","160","84","23","227","90","141","77","200","227","179","6","201","207","136","230","131","41.333333333333336","28.75","16.0","79.25"
"7","69","219","70","105","93","160","126","91","199","104","86","40","82","78","32","244","148","13","128","124","98","151","46","167","88","143","112","36","210","120","1","163","66","16","38","165","149","44","148","91","2","208","98","222","227","35","69","199","226","238","173","50","223","22","83","139","225","6","80","112","51","93","208","152","255","93","123","142","10","90.58333333333333","0.0","174.5","97.25"
"8","11","171","5","134","5","175","133","97","16","37","141","128","121","16","49","135","168","180","143","148","29","167","255","42","34","104","94","93","122","202","179","91","54","236","148","51","193","16","108","139","153","56","210","150","127","34","245","141","147","175","57","215","47","197","55","169","72","100","159","137","255","188","52","217","178","183","103","198","34","65.0","136.0","21.0","38.0"
"9","240","84","136","23","76","55","244","238","153","141","206","222","203","252","50","250","199","6","180","183","98","78","86","96","238","193","24","112","200","211","70","194","158","99","160","232","35","85","214","213","230","18","71","142","232","119","60","191","77","51","214","59","28","226","79","26","36","239","77","48","20","13","230","185","30","20","142","125","243","0.0","0.0","0.0","0.0"
