"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit"
"0","195","138","44","177","167","25","208","13","233","153","20","196","40","201","117","160","197","166","93","140","225","65","121","123","204","121","76","37","101","165","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","30","39","214","172","165","85","13.45","10.5","39.25","0.0","0.0","13.25","4.5","0.0","35.75","0.0","6.75","19.75","23.5","17.0","25.0","6.5"
"1","195","138","44","177","167","25","208","13","233","153","20","196","40","201","117","160","197","166","93","140","225","65","121","123","204","164","76","37","101","165","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","30","39","214","140","165","85","122.33333333333333","38.5","199.75","210.5","52.0","137.25","91.5","253.0","134.25","35.5","42.25","22.0","182.25","166.0","116.25","154.0"
"2","195","138","44","177","167","25","208","13","233","153","20","196","40","201","117","160","197","166","93","140","225","65","121","123","204","121","76","37","101","165","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","133","30","39","214","140","165","85","105.61666666666666","131.25","134.25","51.75","74.75","43.5","215.0","125.25","42.75","164.25","0.0","100.0","35.5","170.75","118.5","176.75"
"3","195","138","44","177","167","25","208","13","233","153","20","196","40","201","117","160","197","166","93","140","225","65","121","123","204","121","76","37","101","165","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","30","39","214","140","165","85","158.46666666666667","100.0","25.0","85.5","213.5","131.75","149.5","150.75","426.75","181.5","206.25","177.5","154.25","77.5","182.0","115.25"
"4","195","138","44","177","167","25","208","13","233","153","20","196","40","201","117","160","197","166","93","140","225","65","121","123","204","121","76","37","101","165","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","30","39","214","140","165","85","141.83333333333334","139.0","161.5","264.25","20.5","100.0","112.0","160.25","99.0","109.0","123.75","129.25","253.0","126.25","209.25","120.5"
"5","195","138","44","50","167","25","134","13","233","153","20","196","40","201","22","3","197","166","93","140","225","65","121","123","141","80","76","37","101","155","71","133","39","151","205","125","108","120","92","116","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","167","39","214","140","165","85","76.05","101.0","70.25","50.75","91.5","34.5","83.75","82.75","22.75","15.75","136.0","26.5","93.5","133.0","122.25","76.5"
"6","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","141","121","76","37","101","155","71","133","39","151","205","125","108","120","92","116","216","118","59","51","230","57","2","110","210","133","18","85","218","137","96","220","172","250","199","30","39","214","140","165","85","144.25","270.25","24.5","380.25","155.0","77.0","52.25","159.25","101.25","98.5","200.5","213.0","127.75","40.5","227.0","36.75"
"7","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","141","121","76","37","101","155","71","133","39","151","205","125","47","120","122","116","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","30","39","214","140","165","85","145.1","109.25","69.0","163.5","214.75","160.0","105.25","0.0","175.75","225.5","183.25","36.5","127.5","75.25","505.5","25.5"
"8","195","138","44","254","167","25","134","13","233","153","20","196","40","147","117","3","197","166","93","140","225","65","121","123","141","121","76","37","101","155","71","133","39","151","205","224","108","120","92","116","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","162","30","39","214","140","165","85","79.28333333333333","189.75","98.5","94.5","188.5","37.0","3.5","75.5","18.0","5.25","50.5","0.0","14.25","100.25","152.5","161.25"
"9","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","141","121","76","37","101","155","71","133","39","151","205","125","108","120","92","116","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","30","39","214","140","165","85","125.35","355.5","5.25","157.5","102.0","229.5","67.0","19.0","153.5","286.5","82.25","107.5","97.25","195.75","0.0","21.75"
"10","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","204","121","22","80","101","155","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","100","172","250","69","30","39","214","140","165","85","129.5","55.75","197.0","256.25","101.5","185.25","143.75","69.5","49.25","94.0","181.0","49.0","136.5","178.5","187.75","57.5"
"11","195","138","44","254","167","25","134","13","233","153","20","173","40","201","117","3","197","166","93","140","225","119","121","123","204","121","22","37","101","155","71","133","39","151","205","125","108","120","92","82","216","201","59","51","230","57","2","172","210","133","18","85","218","137","96","100","172","250","69","30","39","214","140","165","85","168.43333333333334","168.75","94.25","145.0","235.5","151.75","102.5","256.25","235.75","232.25","254.25","126.25","176.25","202.5","96.5","48.75"
"12","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","143","93","140","225","65","121","123","204","121","22","37","101","155","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","56","2","172","15","133","18","85","218","137","96","100","172","250","69","30","39","214","140","165","85","182.88333333333333","119.5","57.75","184.75","183.0","197.0","71.75","243.0","447.0","13.0","133.25","167.25","168.25","275.5","142.0","340.25"
"13","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","204","121","22","37","101","155","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","100","172","250","69","30","243","214","140","165","75","33.46666666666667","0.0","0.0","0.0","72.75","0.0","21.5","111.5","12.5","3.5","11.25","95.0","0.0","10.0","25.0","139.0"
"14","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","204","121","22","37","101","155","71","133","39","151","246","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","100","172","250","69","30","39","214","140","165","85","167.81666666666666","180.75","185.75","136.0","214.5","181.0","202.5","218.75","100.5","222.5","345.5","52.0","212.0","99.5","109.0","57.0"
"15","73","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","204","121","22","37","101","155","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","87","220","172","250","199","30","39","214","140","165","85","167.85","10.5","57.75","373.5","95.75","425.75","208.75","143.75","44.5","301.75","83.75","123.5","127.0","193.0","231.75","96.75"
"16","195","138","44","254","167","25","134","13","233","153","20","196","40","201","117","3","197","166","93","140","225","65","121","123","204","207","22","37","101","155","71","133","39","151","205","125","108","120","92","82","216","118","59","51","230","57","2","172","210","133","18","85","218","137","96","220","172","250","199","30","39","214","140","165","85","218.28333333333333","180.25","307.75","173.25","110.5","196.5","213.5","689.5","195.5","202.75","279.5","34.0","237.5","208.5","0.0","245.25"
