"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit"
"0","243","157","239","245","33","91","230","199","11","113","14","177","249","13","221","69","95","100","237","204","134","152","97","6","132","72","196","154","177","47","38","197","169","237","53","182","33","5","179","113","36","21","38","97","107","57","206","199","162","105","216","157","86","172","79","218","67","203","118","5","84","185","80","249","85","85","211","194","202","260.78333333333336","295.5","280.5","340.5","426.0","600.25","180.0","413.75","854.5","163.75","417.0","-240.5","678.0","199.25","-1090.5","393.75"
"1","243","157","239","245","33","91","230","199","11","113","14","177","249","13","221","69","95","100","237","204","134","152","97","6","132","72","196","154","177","47","69","197","169","237","53","182","33","5","179","203","36","21","38","97","107","57","206","199","162","105","216","157","86","132","79","218","67","203","118","5","84","185","80","249","85","85","211","194","202","353.9","219.5","417.25","411.75","202.0","219.0","620.5","377.0","536.0","867.25","135.5","-318.5","599.5","-392.25","695.0","719.0"
"2","243","157","239","245","33","91","230","199","11","113","14","164","249","13","221","69","95","100","237","204","134","152","97","6","132","72","196","154","177","47","38","197","169","237","53","182","33","5","179","203","36","21","38","97","107","57","206","199","162","105","216","157","86","172","79","74","67","203","118","5","84","185","80","249","85","85","211","194","202","143.0","228.5","203.75","262.75","209.25","349.5","435.25","348.5","378.75","-1209.5","-1253.0","507.5","609.25","485.0","289.75","299.75"
"3","243","157","239","245","33","91","230","199","11","113","14","177","249","13","221","69","95","100","237","204","134","152","97","6","132","72","196","154","16","47","38","197","169","237","53","182","33","5","179","203","36","21","38","97","107","57","206","199","162","105","216","157","86","172","79","218","67","203","118","5","84","185","80","249","85","85","211","194","208","351.48333333333335","505.5","-360.0","344.75","661.5","641.5","789.75","232.75","293.75","-37.25","565.75","238.25","456.5","135.0","299.5","505.0"
"4","243","157","239","245","33","91","230","199","11","113","14","177","249","13","221","69","95","100","237","204","134","152","97","6","132","72","196","154","177","47","38","197","169","237","53","182","33","5","179","203","36","21","38","97","107","57","206","199","162","105","216","157","86","172","79","218","67","203","118","5","84","185","80","249","85","85","211","194","202","391.53333333333336","651.0","295.5","666.75","529.0","537.75","125.75","617.5","418.0","210.75","457.5","223.0","-187.0","274.5","645.5","407.5"
"5","243","157","239","245","33","91","102","164","11","113","61","78","249","13","221","69","95","215","237","204","134","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","5","179","203","36","21","38","97","144","57","206","199","80","105","216","157","157","248","219","218","67","223","42","170","84","185","36","249","85","232","211","194","255","318.35","410.25","-400.5","433.75","660.0","327.25","351.0","614.75","-134.5","180.0","627.0","629.5","155.25","259.25","349.0","313.25"
"6","243","157","239","245","33","91","102","164","11","113","61","78","249","13","221","69","95","215","237","204","134","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","5","179","203","36","21","38","97","144","57","206","199","80","105","216","116","157","248","219","218","67","223","42","170","84","185","36","249","85","232","211","194","255","159.71666666666667","368.25","488.25","-70.25","-580.5","611.5","407.25","774.0","251.5","-149.5","-175.0","367.0","45.75","-545.5","249.5","353.5"
"7","243","157","239","245","33","91","102","164","11","113","61","78","249","13","221","69","95","215","237","204","134","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","5","179","203","36","21","38","97","144","57","206","199","80","105","216","215","157","248","219","218","71","223","42","170","84","185","36","249","85","232","211","194","255","356.73333333333335","576.5","438.25","468.25","188.5","161.25","111.75","426.75","0.0","435.75","258.75","547.25","103.75","654.25","536.5","443.5"
"8","243","157","239","245","33","91","102","164","136","113","61","78","249","13","221","69","95","215","237","204","134","214","254","65","110","72","146","154","177","47","116","149","169","220","11","182","111","5","179","203","36","21","38","97","144","57","206","199","80","105","216","157","157","248","219","218","67","223","42","170","84","185","36","249","85","232","211","194","255","445.28333333333336","414.75","540.25","318.75","433.75","610.25","648.75","347.0","370.5","423.5","464.5","411.25","667.5","265.0","527.0","236.5"
"9","243","157","101","245","33","91","102","164","11","220","61","78","249","13","221","69","95","215","237","204","134","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","5","179","203","36","21","38","97","144","57","206","199","80","105","216","157","157","248","241","218","67","223","42","170","84","185","36","249","85","232","211","194","255","286.05","139.75","231.25","257.25","-81.0","346.0","404.5","453.5","303.5","431.75","412.25","1.75","200.5","529.5","424.0","236.25"
"10","243","157","239","245","33","91","179","164","11","113","61","78","249","13","221","69","95","215","237","204","76","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","66","114","203","36","21","38","97","144","89","206","199","80","105","216","157","157","248","147","218","67","223","53","170","84","185","36","249","85","232","211","194","255","291.6166666666667","-1041.0","547.5","271.75","107.0","323.0","480.25","515.5","330.5","445.25","308.0","580.75","334.0","246.75","634.5","290.5"
"11","243","157","239","245","33","91","179","164","11","113","61","78","249","13","221","69","95","215","237","204","76","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","66","114","203","36","21","38","97","144","57","206","199","80","105","216","157","157","99","219","218","67","52","53","170","84","185","36","249","85","232","211","194","255","338.8333333333333","298.25","371.5","451.0","200.75","115.5","475.5","412.5","437.0","246.75","412.0","383.25","264.75","419.0","351.0","243.75"
"12","243","157","239","245","33","91","179","164","11","113","61","78","249","13","221","69","95","215","237","204","76","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","66","114","203","36","21","38","97","144","57","206","199","80","105","216","157","157","248","219","218","67","223","53","170","84","185","36","249","85","232","211","194","255","253.5","-76.25","287.25","284.0","377.5","428.0","559.0","149.5","315.0","286.75","11.25","431.75","119.0","346.5","-192.25","475.5"
"13","243","157","239","245","33","91","179","164","11","113","61","78","249","13","221","69","95","215","237","204","76","214","254","65","132","72","146","154","177","47","116","149","166","220","11","182","111","66","114","203","36","21","38","97","144","57","206","199","80","105","216","157","157","248","219","218","67","223","53","170","84","185","36","249","85","160","211","194","255","307.6666666666667","414.5","-73.75","602.0","614.5","493.5","318.75","519.5","-105.5","208.0","371.75","194.75","110.75","379.0","153.0","414.25"
"14","243","157","239","245","33","91","179","164","11","113","61","78","249","13","221","69","95","215","237","204","76","214","254","65","132","72","146","154","177","47","116","149","169","220","11","182","111","66","114","203","36","21","38","97","144","57","206","199","80","105","216","157","157","248","219","218","67","223","87","170","84","185","36","249","85","232","211","194","255","382.46666666666664","617.25","283.25","393.25","311.0","297.0","290.5","59.5","319.5","544.25","417.0","399.0","481.75","416.0","427.25","480.5"
"15","243","157","239","245","180","141","230","161","11","113","61","197","249","13","221","69","95","215","237","204","134","193","254","65","132","72","154","154","177","155","116","149","169","220","11","182","33","5","179","203","36","21","38","243","144","57","206","199","36","105","216","157","238","76","219","218","67","203","42","170","84","185","36","249","85","170","211","194","255","206.7","186.25","353.0","-45.75","482.25","-147.25","321.75","188.75","382.5","131.75","486.75","-414.25","-8.0","67.0","668.0","447.75"
