"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit"
"0","15","134","3","97","53","92","113","96","192","192","60","141","128","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","91","169","67","243","195","145","191","235","193.98333333333332","96.25","175.5","275.0","99.75","454.0","77.75","329.25","318.25","155.0","174.25","50.25","323.5","61.75","99.5","219.75"
"1","15","134","3","97","53","92","113","96","192","192","60","141","245","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","7","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","33","169","67","243","195","145","191","235","244.11666666666667","410.75","215.75","-822.0","190.25","590.75","220.0","345.5","665.25","-152.5","-6.5","582.25","289.75","330.0","375.5","427.0"
"2","15","134","3","97","53","92","113","96","192","192","60","141","245","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","185","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","91","169","67","243","195","145","191","235","318.5","390.75","404.75","556.0","532.25","-90.75","630.25","647.25","357.5","251.25","309.75","39.75","-88.0","175.25","449.5","212.0"
"3","15","134","3","97","53","92","113","96","192","192","60","141","245","229","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","66","91","169","67","243","195","145","191","235","399.05","431.5","664.75","410.25","403.25","339.75","307.5","617.75","484.0","233.0","217.5","263.25","617.25","13.25","409.5","573.25"
"4","15","134","3","97","53","92","113","96","192","192","60","141","245","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","91","169","67","243","195","145","191","235","388.48333333333335","329.25","690.75","368.0","461.25","615.0","564.0","105.0","386.5","600.75","189.25","431.5","379.0","481.5","-113.5","339.0"
"5","15","134","3","97","53","88","120","62","188","108","102","67","245","27","32","34","255","127","163","157","225","57","158","156","168","70","12","192","67","19","34","38","112","151","246","145","25","29","182","4","81","47","160","190","255","16","99","220","228","253","204","20","96","226","38","50","232","132","169","67","157","195","145","191","235","329.46666666666664","566.25","382.5","544.25","-130.5","358.5","245.5","569.25","221.0","588.5","385.5","-182.25","289.75","0.0","513.25","590.5"
"6","15","134","3","97","53","88","120","62","188","108","102","67","245","27","32","34","255","127","163","157","225","57","158","110","168","70","12","192","67","19","34","38","112","151","246","145","25","29","182","4","81","47","160","190","255","16","99","220","228","253","204","20","96","226","38","50","232","132","169","108","157","195","145","191","235","265.3333333333333","392.75","-139.0","250.25","0.0","177.5","631.0","265.5","173.75","355.75","167.0","209.25","326.0","334.25","552.75","283.25"
"7","15","134","3","97","53","88","120","62","188","108","102","67","245","27","32","34","255","127","163","157","225","57","158","156","168","114","12","192","67","19","34","38","112","151","246","145","25","29","182","4","81","47","160","190","255","16","99","220","228","253","204","20","84","226","38","50","232","132","169","67","157","195","145","191","235","393.03333333333336","411.0","218.0","529.5","470.75","269.25","249.0","615.0","367.5","371.0","601.0","436.0","265.5","351.5","194.75","545.75"
"8","15","134","3","97","53","88","120","62","188","108","102","67","245","27","32","34","255","127","163","157","225","57","158","156","168","70","12","192","67","19","34","38","112","151","246","145","25","29","182","4","81","47","160","190","255","16","99","220","228","253","204","20","96","226","38","137","232","132","169","67","157","195","145","191","235","352.1166666666667","378.25","344.0","325.5","876.5","250.5","464.75","805.75","448.5","204.25","418.5","75.5","-104.75","50.0","414.5","330.0"
"9","15","134","3","97","53","88","120","62","188","108","102","67","245","27","32","205","255","127","163","157","225","57","158","156","168","70","12","192","67","19","34","38","112","151","246","145","25","29","182","4","81","47","160","190","255","16","99","220","228","253","204","20","96","226","38","50","232","132","169","67","157","195","145","191","235","396.8833333333333","168.75","602.75","375.25","625.0","0.0","477.75","732.75","422.25","452.25","335.25","388.75","373.5","583.25","400.25","15.5"
"10","15","134","197","97","53","217","113","85","184","192","80","199","245","46","32","22","251","127","163","157","225","57","158","102","168","254","7","205","49","19","176","51","42","196","246","145","120","29","182","4","206","47","153","190","255","16","153","152","228","5","204","20","67","112","38","165","232","91","95","67","243","195","145","191","235","240.45","-322.75","376.75","418.75","-131.5","599.75","322.25","0.0","398.0","284.25","315.0","-390.25","500.5","237.0","350.25","648.75"
"11","15","134","197","97","53","217","113","85","184","192","80","199","245","46","32","22","251","127","163","157","225","57","158","156","168","254","7","205","49","19","176","51","42","196","246","145","120","29","182","4","206","47","153","190","255","16","153","152","228","5","204","20","67","77","38","165","232","91","169","67","243","195","145","191","235","311.73333333333335","0.0","403.75","830.25","316.0","467.0","368.25","276.75","735.0","420.5","378.5","493.25","92.0","-110.75","0.0","5.5"
"12","15","134","197","97","53","217","113","85","184","192","80","199","245","29","32","22","251","146","163","157","225","57","158","102","168","254","7","205","106","19","176","51","42","196","246","145","120","29","182","4","206","47","153","190","255","16","153","238","228","5","204","20","67","112","38","165","232","91","169","67","243","195","145","191","235","285.71666666666664","66.25","550.0","482.25","423.0","412.5","277.75","579.25","454.75","514.5","163.75","388.5","406.25","456.0","-188.75","-700.25"
"13","15","134","197","97","53","217","113","85","184","192","80","199","245","46","32","22","251","127","163","157","225","57","158","102","168","254","7","205","49","49","176","51","42","196","246","145","120","29","182","4","206","47","153","190","255","16","153","152","228","5","100","20","67","112","38","165","232","49","169","67","243","195","145","191","235","289.7","213.25","317.75","426.25","367.75","-233.25","365.75","-94.5","243.75","341.0","650.25","269.5","183.5","552.25","191.25","551.0"
"14","15","134","197","97","53","217","113","85","184","192","80","199","245","46","32","22","251","127","163","157","225","57","158","102","168","254","246","205","49","19","39","51","42","196","246","145","120","29","182","4","206","47","153","190","255","16","153","152","228","5","204","20","67","112","38","165","232","91","169","67","243","195","145","191","235","290.31666666666666","533.25","30.5","164.75","142.75","362.5","210.25","370.75","590.0","337.25","418.0","279.25","78.75","390.5","5.0","441.25"
"15","15","134","3","97","53","92","113","96","192","192","60","141","245","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","91","169","67","243","195","145","191","235","214.03333333333333","395.75","-212.25","147.0","444.25","591.5","425.5","584.25","-240.0","221.5","442.75","239.25","242.25","610.5","-898.0","216.25"
"16","15","134","3","97","53","92","113","96","192","192","60","141","245","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","91","169","67","243","195","145","191","235","387.8666666666667","543.5","511.25","438.0","14.5","516.0","143.25","436.25","208.0","195.25","481.5","190.5","860.25","640.0","241.0","398.75"
"17","15","134","3","92","53","92","113","96","192","192","60","141","245","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","91","169","67","243","195","145","191","235","181.75","252.0","829.25","0.0","182.75","167.0","17.5","-274.5","147.25","112.75","-1.5","-71.5","440.5","208.25","363.0","353.5"
"18","15","134","3","97","53","92","113","96","192","192","37","141","245","46","32","22","251","127","204","157","7","57","158","113","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","188","169","67","243","127","145","191","235","242.45","351.5","-420.0","338.0","347.0","299.25","380.25","457.5","140.0","-207.0","465.0","26.25","558.75","475.5","455.0","-30.25"
"19","15","134","3","97","53","92","113","96","192","192","60","141","245","46","32","22","251","127","204","157","7","57","158","225","168","254","7","205","129","19","176","118","151","151","246","145","120","29","57","4","206","47","223","190","255","228","128","220","228","5","204","20","91","226","49","165","232","91","169","67","91","195","145","191","235","387.65","610.25","408.75","451.0","520.0","381.0","296.5","401.75","216.75","206.75","-117.25","502.75","440.0","619.0","229.5","648.0"
"20","15","134","3","97","53","219","121","62","188","108","102","234","245","27","127","34","255","213","163","157","225","57","158","93","168","70","7","67","67","19","34","38","151","151","246","145","25","29","182","4","81","47","246","190","255","16","99","220","228","250","204","20","96","33","38","50","232","132","169","67","157","195","145","191","235","324.01666666666665","517.75","204.5","374.75","388.75","192.75","600.75","364.0","397.0","237.0","284.0","248.5","435.0","212.5","219.75","183.25"
"21","15","134","3","97","53","219","121","62","56","108","102","234","245","27","127","34","255","213","163","157","225","57","158","93","168","70","7","174","67","19","34","38","151","151","246","145","25","29","182","4","81","47","76","190","255","16","99","220","228","169","204","20","96","33","38","50","232","132","169","67","157","195","145","191","235","351.0","300.75","407.0","283.25","225.0","101.5","594.25","661.0","-28.0","27.75","274.75","651.75","880.75","166.0","618.5","100.75"
"22","15","134","3","97","53","219","121","62","188","108","102","234","245","27","127","34","255","213","163","157","225","57","158","93","32","70","7","205","67","19","34","38","151","151","246","145","25","29","182","4","81","47","76","190","255","16","99","220","228","169","204","20","96","222","38","50","232","132","169","67","157","195","145","191","235","271.71666666666664","110.5","178.5","426.5","592.5","767.25","643.0","387.25","493.0","215.75","-37.0","-1169.25","600.5","218.5","456.5","192.25"
"23","15","134","3","97","53","219","121","62","188","108","102","234","245","27","127","241","255","213","163","157","225","57","158","93","168","70","7","205","67","19","34","38","151","246","246","145","25","29","182","4","81","47","76","190","255","16","99","220","228","169","204","20","96","33","38","50","232","132","169","67","157","195","145","191","235","269.05","-388.0","449.75","596.75","19.5","795.0","-399.0","220.75","630.25","198.75","204.25","141.25","228.75","580.0","399.75","358.0"
"24","15","134","3","97","53","219","121","62","188","108","102","234","245","27","127","34","255","213","163","157","225","57","158","93","168","70","7","205","67","19","34","38","151","151","246","145","25","29","182","4","81","47","76","190","255","16","99","220","148","169","204","20","96","33","38","50","232","180","169","67","157","195","145","191","235","397.06666666666666","411.75","422.25","43.0","508.0","640.25","523.75","624.75","579.0","293.75","427.75","199.5","601.75","482.5","-102.25","300.25"
"25","15","134","3","97","53","88","169","62","188","108","102","67","245","27","32","34","255","127","163","157","225","57","158","156","168","70","7","192","201","19","34","38","112","151","246","145","25","29","182","4","81","47","63","190","255","16","99","220","228","169","204","20","96","226","38","50","232","39","169","67","157","195","145","191","235","220.8","598.25","162.0","-731.5","451.25","154.75","221.0","-102.75","331.5","-116.0","617.75","311.0","403.0","624.25","447.5","-60.0"
"26","15","134","3","97","53","88","169","62","188","108","102","67","245","27","32","34","255","127","163","157","225","57","158","156","168","70","7","192","201","19","34","156","112","151","246","145","25","29","182","4","81","47","63","190","255","16","99","220","228","169","204","20","96","226","38","50","232","39","169","67","157","195","145","191","235","305.6166666666667","239.75","485.25","364.25","411.25","381.0","765.75","215.75","253.25","416.5","465.75","386.0","-271.0","149.5","192.0","129.25"
"27","15","134","3","97","53","88","169","62","188","108","103","37","245","27","32","34","255","127","163","157","225","57","158","156","168","70","7","192","201","19","34","38","112","151","246","145","25","29","182","4","81","47","63","190","255","16","99","220","228","169","204","20","96","226","38","50","232","39","169","67","157","195","145","110","235","258.31666666666666","466.75","425.25","532.0","138.75","329.5","329.75","6.75","678.0","411.25","213.0","-867.75","-35.25","254.5","382.75","609.5"
"28","15","134","3","97","53","88","169","62","188","108","102","67","245","27","32","34","255","127","163","157","225","57","158","156","168","70","7","192","201","19","34","149","112","151","246","145","25","29","182","4","81","47","63","190","255","16","99","220","228","169","204","20","96","226","38","50","232","39","169","67","157","195","145","191","235","261.6166666666667","371.75","362.75","425.75","203.0","40.5","184.0","318.25","387.5","380.75","247.5","-71.5","64.5","-45.75","615.5","439.75"
"29","15","134","3","97","53","88","169","62","188","108","102","67","245","27","32","34","255","127","163","157","225","12","158","156","168","70","7","192","201","19","34","38","112","151","246","145","25","29","182","4","81","47","63","190","255","16","99","220","228","169","204","20","96","226","38","4","232","39","169","67","157","195","145","191","235","363.1333333333333","421.75","245.0","653.25","385.25","507.5","446.25","225.25","656.5","-235.5","326.0","236.0","422.5","543.5","-221.5","835.25"
"30","15","134","3","97","53","92","113","85","192","192","60","234","245","46","32","22","251","214","123","157","225","57","158","153","168","254","7","205","129","19","176","38","151","151","246","145","120","29","182","4","206","47","223","57","255","16","99","220","174","5","204","20","67","226","38","165","232","91","169","67","243","195","145","191","235","342.96666666666664","398.75","-247.25","222.5","227.0","394.75","580.0","368.25","375.25","541.0","207.5","505.75","300.75","562.25","478.25","229.75"
"31","15","134","3","97","53","92","113","85","192","192","60","234","245","46","179","22","251","214","163","157","225","57","158","153","168","254","7","205","129","19","4","38","151","151","246","145","120","29","182","4","206","47","223","57","255","16","99","220","174","5","204","20","67","226","38","165","232","91","169","67","243","195","145","191","235","294.71666666666664","207.75","307.0","482.0","228.75","351.25","221.0","154.25","203.5","180.5","218.25","-62.0","436.5","692.0","226.0","574.0"
"32","15","134","3","97","53","92","113","85","192","192","60","234","245","46","32","22","251","214","163","157","225","57","158","153","168","254","7","205","129","19","176","38","151","151","246","145","120","29","182","4","206","47","223","57","255","16","99","220","174","5","204","153","67","226","38","165","232","91","169","67","243","195","145","191","235","297.01666666666665","-89.75","-338.25","467.75","189.25","250.75","413.0","387.25","641.0","631.0","420.25","364.5","334.75","408.25","287.0","88.5"
"33","15","134","3","97","53","92","113","85","192","192","60","234","245","46","32","22","251","214","163","157","225","57","158","153","168","254","7","205","129","19","176","38","151","76","246","145","120","29","182","4","206","47","92","213","255","16","99","220","174","5","204","20","67","226","38","165","232","91","169","67","243","195","145","191","235","296.45","305.5","349.0","466.25","247.0","324.25","402.0","588.5","709.25","470.25","875.0","201.25","370.75","0.0","-1041.75","179.5"
"34","15","134","3","97","53","92","113","194","192","192","60","234","245","46","32","22","251","214","163","157","225","57","158","153","168","254","7","205","129","19","176","38","151","151","246","145","120","29","182","4","206","47","223","57","255","16","99","220","174","5","204","20","67","226","38","165","232","91","169","67","243","195","145","191","235","360.3833333333333","738.25","414.25","450.75","4.0","213.25","382.25","606.5","445.25","225.5","391.75","309.5","-91.25","294.5","557.0","464.25"
