"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","157","196","240","135","251","67","81","65","195","39","10","170","234","31","215","34","70","165","255","205","63","206","154","87","64","117","146","211","161","166","206","46","192","238","254","121","248","2","172","94","28","17","101","212","221","166","152","51","13","104","49","159","202","20","169","158","223","243","78","138","80","243","32","129","3","91","211","201","169","474.0125","391.75","642.25","380.25","497.0","352.75","458.5","643.25","474.25","381.5","546.0","298.0","512.5","478.75","565.25","267.5","688.75","578.0","396.25","339.75","588.0"
"1","157","196","240","135","251","67","81","65","195","39","10","170","234","31","215","34","70","165","255","205","63","206","154","87","64","117","146","211","161","166","206","46","192","238","254","121","248","2","243","94","28","112","101","212","221","166","152","51","13","104","49","159","202","20","169","158","223","243","78","138","80","243","32","129","3","91","211","201","169","498.0","613.75","429.25","542.25","507.0","575.0","516.75","720.0","212.5","354.25","634.75","609.5","555.25","662.5","517.5","442.0","483.5","539.0","344.5","173.75","527.0"
"2","157","196","240","135","251","67","81","65","195","39","10","170","234","31","215","34","70","165","255","205","63","206","154","87","64","117","146","211","161","166","206","46","192","238","254","121","248","2","243","94","28","17","101","212","221","166","152","51","13","104","49","159","202","20","169","158","223","243","78","138","80","243","32","54","3","91","211","201","169","406.75","390.25","405.0","351.5","384.0","516.25","288.25","158.75","365.0","512.0","170.0","577.25","353.5","514.5","600.75","342.75","252.5","643.0","411.0","567.75","331.0"
"3","157","196","240","135","251","67","81","65","195","39","10","170","234","31","215","34","70","165","255","205","63","206","154","87","64","117","146","211","161","166","206","46","192","238","254","121","248","2","243","94","28","17","101","212","221","166","152","51","13","104","49","159","202","20","169","158","223","243","78","138","80","243","32","129","3","91","211","201","169","519.775","623.25","357.75","552.5","579.25","596.75","545.25","28.75","269.25","583.25","793.0","563.0","535.0","617.75","374.25","311.75","544.25","760.5","546.0","635.75","578.25"
"4","157","196","240","135","251","67","81","65","195","39","10","170","234","31","215","34","74","165","255","205","63","206","154","87","64","117","146","211","161","166","206","46","192","238","254","121","248","2","243","94","28","17","101","212","221","166","152","51","13","104","49","159","202","20","169","158","223","243","78","138","80","243","32","129","3","91","211","201","169","474.1375","500.5","456.25","511.5","472.25","380.0","461.0","618.0","483.5","659.75","468.75","331.0","605.5","443.5","197.0","489.0","529.75","427.0","458.5","478.75","511.25"
"5","157","51","122","135","251","67","81","65","92","39","10","170","234","95","215","34","70","165","47","205","63","174","165","252","219","117","146","148","161","166","206","46","192","238","254","116","248","2","243","1","159","17","101","212","221","178","152","51","13","104","49","118","202","129","169","66","223","243","78","138","80","243","32","129","3","91","211","201","169","18.625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","225.25","0.0","147.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","157","51","122","135","251","67","81","65","92","39","10","170","234","95","215","34","70","165","255","205","63","174","245","252","219","117","146","148","161","166","206","46","192","238","254","116","248","2","243","1","159","17","101","212","221","178","152","51","13","104","49","118","202","129","169","158","223","243","78","138","80","243","32","129","3","91","211","201","169","431.7","528.75","704.25","338.5","178.25","273.5","683.25","335.5","505.5","753.0","247.0","542.5","447.75","350.0","500.5","499.5","268.75","256.5","432.25","281.0","507.75"
"7","157","51","122","135","251","67","81","65","92","39","10","170","234","95","215","34","70","165","255","146","63","174","165","131","219","117","146","148","161","166","206","46","192","238","254","116","248","2","243","1","159","17","101","212","221","178","152","51","13","104","49","118","202","129","169","158","223","243","78","138","80","243","32","129","3","91","211","201","169","156.3875","237.5","0.0","239.5","0.0","0.0","293.5","187.75","351.0","297.0","240.75","464.0","369.25","0.0","0.0","220.0","0.0","3.0","0.0","224.5","0.0"
"8","157","51","122","135","251","67","81","65","228","39","10","170","234","95","215","34","70","131","255","205","63","174","165","252","219","117","146","148","161","166","206","46","192","238","254","116","248","2","243","1","159","17","101","212","221","178","152","51","13","104","49","118","202","129","169","158","223","243","78","138","80","243","32","129","3","91","211","201","169","437.6375","596.0","436.75","378.5","292.25","571.0","443.5","663.75","372.5","601.75","481.0","359.0","508.75","538.5","387.25","608.0","396.5","427.0","164.25","193.75","332.75"
"9","157","51","122","135","251","67","81","65","92","39","10","170","234","95","215","34","70","165","255","35","63","174","165","252","219","228","146","148","161","166","206","46","192","238","254","116","248","2","243","1","159","17","101","212","221","178","152","51","13","104","49","118","123","129","169","158","223","243","78","138","80","243","32","129","3","91","58","201","169","6.0875","0.0","0.0","0.0","0.0","0.0","121.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
