"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","244","209","219","148","192","95","183","173","122","127","94","28","240","229","143","104","124","97","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","22","113","159","101","108","171","239","66","65","132","7","253","228","5","179","110","153","210","121","189","88","14","97","13","66","7","125","177","163","209","96","489.1125","579.0","870.75","424.25","371.75","365.0","360.75","473.5","397.25","473.25","511.0","418.25","299.25","424.5","631.75","625.5","646.75","477.5","625.5","444.75","362.0"
"1","244","209","219","148","192","95","183","173","122","127","94","28","240","229","143","104","124","97","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","22","113","159","101","108","171","239","88","65","132","7","253","228","5","179","110","153","115","121","189","88","14","97","13","66","7","125","177","163","209","96","412.475","-208.25","587.0","412.5","609.5","586.25","205.75","609.25","393.75","231.25","328.0","502.25","616.25","565.75","541.5","414.25","0.0","654.5","376.25","515.75","308.0"
"2","244","209","219","148","192","95","183","173","122","127","94","28","240","229","143","104","124","97","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","22","113","159","101","108","171","239","88","65","132","7","253","228","5","179","110","153","210","121","189","88","14","97","13","66","7","125","177","163","209","96","446.2625","623.5","592.0","310.0","381.5","457.25","642.75","377.0","205.25","532.5","450.0","541.0","490.5","395.5","517.25","415.0","601.75","534.5","461.5","393.25","3.25"
"3","244","209","219","148","192","95","183","173","122","127","94","28","240","229","143","104","124","97","223","163","67","245","52","204","20","223","65","38","160","96","184","252","51","225","22","113","159","63","108","171","239","88","65","132","7","253","228","5","179","110","153","210","121","189","88","14","97","13","66","136","125","177","163","209","96","146.6875","83.75","141.0","166.0","135.5","148.25","114.0","126.0","135.25","137.5","178.25","151.5","143.0","194.75","170.5","157.0","153.25","175.25","122.0","162.75","138.25"
"4","244","209","219","148","192","95","183","173","122","127","94","28","240","229","143","104","124","97","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","22","113","159","101","108","171","239","88","65","132","7","253","228","5","179","110","153","210","121","211","65","14","97","13","66","7","125","177","163","209","96","506.5","434.0","794.25","393.5","523.75","570.75","656.0","432.5","395.25","664.75","274.25","384.5","333.5","530.75","565.5","610.5","570.0","616.5","384.75","415.0","580.0"
"5","244","209","191","69","192","95","183","190","172","96","94","28","240","179","143","82","124","97","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","150","113","159","101","108","237","239","88","65","228","213","253","228","5","179","110","153","210","121","189","210","14","97","13","66","7","125","189","163","209","123","475.7625","638.25","403.25","157.0","321.75","722.5","561.5","341.0","426.25","425.75","617.5","586.0","642.25","-335.0","735.75","560.75","493.0","615.5","595.25","381.0","626.0"
"6","244","251","191","69","192","95","183","173","172","96","94","28","240","81","143","82","124","97","223","163","67","245","52","185","20","223","65","38","160","75","184","252","51","225","22","113","159","101","108","237","239","88","65","228","213","253","228","5","179","110","153","210","121","189","210","14","97","13","66","7","125","189","163","209","123","417.2125","586.5","577.5","407.0","250.5","455.5","319.25","178.0","502.5","327.75","360.0","589.0","254.0","300.0","330.25","414.0","327.5","467.75","576.5","573.5","547.25"
"7","244","209","191","69","192","95","183","173","172","96","94","28","240","81","143","82","124","97","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","22","113","159","101","108","237","239","88","65","228","213","253","228","5","179","110","153","210","121","189","210","14","97","13","97","7","125","189","163","209","123","463.2","399.25","464.0","517.75","496.0","368.0","493.25","655.75","348.25","594.0","714.25","504.5","616.0","580.25","494.75","538.25","316.5","442.5","-383.25","398.0","706.0"
"8","244","209","191","69","192","95","183","173","172","96","94","28","240","81","143","82","124","97","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","22","113","159","101","108","237","239","88","65","228","213","253","228","5","179","110","153","210","121","189","210","14","97","13","66","7","68","94","163","209","123","316.1875","0.0","0.0","443.5","687.0","238.75","392.0","0.0","226.0","213.0","228.0","0.0","673.0","297.75","233.5","385.75","410.75","490.25","187.5","562.0","655.0"
"9","244","209","191","69","192","95","183","173","172","96","94","28","240","81","143","82","124","212","223","163","67","245","52","185","20","223","65","38","160","96","184","252","51","225","22","113","159","101","108","237","239","88","65","228","213","253","228","5","179","110","153","210","121","189","210","14","97","13","66","7","125","189","163","209","123","413.55","636.5","480.5","530.5","603.25","364.75","622.25","536.0","270.5","608.25","409.5","439.25","345.75","-192.0","635.0","478.0","601.25","17.25","289.25","200.75","394.5"
