"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","43","147","6","16","224","239","45","200","231","219","213","226","233","170","66","224","143","117","220","227","47","126","150","24","217","30","143","243","141","232","60","63","140","193","90","111","169","90","54","95","253","231","51","212","253","42","18","187","28","242","12","238","35","224","186","87","181","49","162","10","193","70","88","101","44","110","144","63","42","300.0125","612.75","485.0","463.0","434.75","348.5","530.25","222.75","381.25","354.25","455.0","293.25","-24.25","-449.75","363.5","259.0","253.75","178.75","315.75","65.75","457.0"
"1","43","147","6","232","224","239","45","200","231","219","213","108","233","170","66","224","143","117","220","227","47","126","150","24","217","30","143","243","141","232","60","63","140","193","75","111","169","90","54","95","253","231","51","212","253","95","18","187","28","242","12","238","35","224","186","87","181","49","162","10","28","70","88","101","44","110","144","63","42","385.1","462.0","384.0","307.0","408.5","512.5","630.5","403.5","237.0","486.0","655.75","15.75","282.75","277.0","549.5","391.25","520.5","21.0","328.0","535.25","294.25"
"2","43","147","6","232","224","239","45","200","231","219","213","108","233","170","66","224","143","117","220","227","47","126","150","24","217","212","143","243","141","232","60","63","140","123","75","111","169","90","54","95","253","231","51","212","253","42","18","187","28","242","12","238","35","80","186","87","181","240","162","10","28","70","88","101","44","110","144","63","42","200.5","430.25","-48.75","114.25","-326.5","247.75","-548.75","494.5","-232.0","-23.75","539.0","431.25","91.5","307.75","141.5","551.25","382.5","598.5","618.25","-112.25","353.75"
"3","43","147","6","232","224","239","45","200","231","219","213","108","233","170","66","224","143","117","220","227","47","126","150","24","217","30","143","243","141","232","60","63","140","193","75","111","169","90","54","95","253","231","51","212","253","100","18","187","28","242","12","238","35","224","186","87","181","49","162","10","72","70","88","101","44","110","144","63","42","147.025","247.75","21.0","622.75","292.5","331.0","-360.75","-114.75","-1072.5","332.25","734.75","191.0","347.5","263.75","8.5","115.0","-77.5","403.25","283.25","346.5","25.25"
"4","43","147","6","232","224","239","126","200","231","219","213","108","47","170","66","224","143","117","220","227","47","126","150","24","217","30","143","243","141","232","60","63","140","193","75","111","169","90","54","95","253","231","51","212","253","42","18","187","28","242","12","238","32","224","186","87","181","49","162","10","28","70","88","101","44","110","144","63","42","76.875","82.5","41.75","39.5","77.25","75.5","106.0","93.75","78.5","44.5","28.25","87.25","131.75","238.0","62.75","68.0","40.5","57.5","37.5","81.0","65.75"
"5","230","147","6","238","127","161","198","200","245","166","238","75","195","18","66","224","138","117","220","227","47","197","255","205","42","30","215","243","93","232","60","119","42","210","75","70","248","194","179","95","229","231","51","133","222","235","30","195","123","244","12","72","72","171","25","187","114","202","77","10","28","44","88","101","44","110","208","63","31","208.4","260.0","-114.25","553.0","130.75","291.75","154.25","89.0","376.0","244.75","-39.75","-621.75","203.75","238.5","447.0","394.75","332.0","94.75","499.0","335.0","299.5"
"6","230","147","6","238","127","161","155","200","245","166","238","75","195","18","66","224","138","117","220","227","47","197","151","205","42","30","215","243","93","232","60","119","165","210","75","70","248","133","179","95","229","231","51","133","222","235","30","195","123","244","12","72","72","171","25","187","114","202","77","10","28","44","88","101","44","110","208","63","31","331.6875","-325.75","447.0","512.25","196.75","326.25","210.25","421.5","545.75","379.5","655.5","367.75","100.25","600.75","499.75","-13.0","587.5","518.25","515.5","73.25","14.75"
"7","230","147","6","238","127","161","155","200","245","166","238","75","195","18","66","224","138","117","220","227","47","197","255","205","42","30","215","243","93","232","60","119","42","210","75","70","248","133","179","95","229","231","51","133","222","235","30","195","123","244","12","72","72","171","25","187","114","202","77","10","28","44","88","101","44","110","208","63","31","392.4","220.5","297.0","153.25","530.0","381.25","358.0","461.25","475.5","603.5","401.75","383.5","748.0","262.75","59.25","255.5","181.0","366.5","757.0","741.0","211.5"
"8","230","147","6","238","127","236","155","200","245","166","238","75","195","18","66","224","138","117","220","227","47","197","255","205","42","30","215","243","93","156","60","119","42","210","75","70","248","133","179","95","229","231","51","133","222","235","30","195","123","244","12","72","72","171","25","187","114","202","77","10","28","44","88","101","44","110","208","63","31","290.4625","-461.25","450.25","271.5","208.75","583.25","297.25","268.25","239.0","398.5","360.0","302.0","272.75","351.0","375.0","193.0","349.75","486.75","40.5","593.25","229.75"
"9","230","147","6","238","127","161","155","200","245","166","238","75","195","18","66","224","138","117","220","227","47","197","255","205","42","30","215","243","174","232","60","119","42","210","75","70","248","133","179","95","229","231","51","133","222","235","30","195","123","244","12","72","72","171","25","187","114","202","77","10","28","44","88","101","44","110","208","63","31","211.75","232.25","277.75","196.5","81.0","224.75","347.25","164.25","77.25","447.0","-321.75","400.5","435.75","435.0","301.0","375.5","369.25","-296.75","366.5","-230.0","352.0"
"10","90","147","73","238","127","161","42","200","176","166","238","75","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","243","134","232","60","119","42","34","75","111","248","90","179","95","33","9","105","133","194","235","91","187","123","244","12","238","250","171","25","246","114","202","77","10","28","44","88","101","44","110","208","63","31","363.35","-799.0","185.5","568.25","331.75","661.0","610.75","287.25","345.25","-140.5","507.75","559.25","517.25","635.5","558.25","133.5","370.5","470.25","503.75","519.75","441.0"
"11","90","147","73","238","127","161","42","200","176","166","238","75","195","170","66","224","138","117","220","33","47","197","255","205","42","30","215","243","134","232","60","119","42","34","75","111","248","90","179","95","33","231","9","133","194","235","91","187","123","244","12","238","250","171","25","246","114","202","77","10","28","44","88","101","44","110","208","63","31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","90","147","73","238","127","161","42","200","176","166","238","75","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","243","134","232","60","119","42","34","75","111","248","90","179","95","33","231","9","117","194","235","91","187","123","244","12","238","250","171","25","246","114","202","77","10","28","44","88","101","44","110","208","63","31","299.1125","-398.0","530.5","299.0","372.5","201.75","16.25","696.75","362.5","554.0","339.25","411.0","581.0","505.0","254.75","74.5","636.0","353.75","498.5","652.25","-959.0"
"13","90","147","73","238","127","161","42","200","176","166","220","75","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","243","134","232","60","119","42","34","75","111","248","90","179","95","33","231","9","133","194","235","91","187","123","244","12","238","250","171","25","246","114","202","77","10","28","44","88","101","44","110","208","63","31","306.8625","263.25","419.5","2.5","108.0","331.0","138.5","483.25","221.25","264.0","170.0","383.75","360.75","291.0","588.75","281.75","150.0","477.5","478.75","372.5","351.25"
"14","90","147","73","238","127","161","42","200","176","166","238","75","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","243","134","232","60","119","42","34","75","111","248","90","179","95","33","231","51","133","194","235","91","187","123","244","12","238","250","171","25","58","114","202","77","10","28","44","88","101","44","110","208","63","120","199.175","452.5","164.25","-639.25","277.25","455.5","389.5","115.75","620.25","-212.5","-47.25","28.75","433.25","15.5","411.75","-13.75","396.25","298.5","467.0","202.25","168.0"
"15","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","18","187","28","244","199","238","153","224","84","87","181","49","162","10","28","91","88","101","44","110","144","63","42","323.4125","-313.5","142.5","433.25","180.75","661.0","167.25","338.5","236.75","493.25","220.25","612.5","365.75","549.75","279.75","453.75","236.75","308.5","339.5","502.5","259.5"
"16","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","18","187","28","244","199","238","153","224","84","87","181","49","162","10","28","91","88","101","44","110","144","123","42","201.425","433.75","322.75","0.0","236.5","486.5","0.0","244.25","481.25","472.5","205.75","0.0","13.75","-390.25","462.5","10.75","2.75","0.0","469.25","249.25","327.25"
"17","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","18","187","28","244","199","238","153","224","84","87","181","49","162","10","28","91","88","101","44","110","144","63","42","238.65","422.25","538.25","381.0","560.75","689.0","572.5","-1056.75","381.25","-40.5","115.75","193.0","88.5","-61.25","397.75","519.25","387.5","453.75","-241.5","203.75","268.75"
"18","43","147","6","28","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","18","187","28","244","199","238","153","224","84","87","181","49","162","10","28","91","88","101","44","110","144","63","93","253.6875","153.75","106.0","148.0","692.75","545.25","202.5","11.0","242.25","385.25","330.5","-367.25","183.0","-14.25","456.5","390.25","146.0","-7.25","457.75","528.0","483.75"
"19","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","18","187","28","244","34","238","153","224","84","87","181","49","162","10","28","91","88","101","44","110","144","63","42","198.4375","318.5","574.0","786.0","-411.25","359.0","414.75","240.25","198.25","90.25","-362.5","698.5","428.5","437.25","450.75","144.0","-1085.5","-79.5","463.25","-180.5","484.75"
"20","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","47","95","253","231","51","7","253","42","18","187","28","244","12","238","153","224","92","87","181","49","162","10","28","91","88","101","44","110","144","63","42","340.725","389.5","581.5","-59.75","185.75","372.75","248.25","409.0","391.0","535.0","-133.25","347.5","201.75","428.0","606.0","-50.25","129.5","838.5","356.25","613.25","424.25"
"21","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","43","187","28","244","12","238","153","224","92","87","66","49","162","10","28","91","88","101","44","110","144","63","42","277.4625","563.75","710.25","672.25","489.75","763.5","508.25","398.5","406.0","59.75","141.25","438.0","639.0","-227.75","-204.75","-942.0","-242.75","208.75","165.5","319.25","682.75"
"22","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","18","187","28","244","12","238","153","224","92","87","181","49","162","10","28","91","88","101","44","110","144","63","42","267.6","407.25","345.75","355.75","367.75","568.25","79.75","-155.5","321.5","591.25","396.0","-520.5","195.5","420.0","459.0","373.5","-106.5","-137.75","456.75","615.5","318.75"
"23","43","147","6","232","224","239","45","200","231","219","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","42","18","187","28","244","12","238","153","224","92","87","181","49","162","10","28","91","88","101","44","110","144","63","42","284.2","-733.5","514.75","163.5","666.25","-338.25","480.0","514.0","360.25","580.5","564.75","221.25","251.25","340.25","814.5","-84.25","402.5","207.0","-166.75","412.75","513.25"
"24","43","147","6","232","224","239","45","200","231","8","37","47","233","170","66","224","143","117","220","227","47","126","144","24","217","30","143","243","49","232","60","63","140","193","55","111","169","90","54","95","253","231","51","7","253","190","18","187","28","244","12","238","153","224","92","87","181","49","162","10","28","91","88","101","44","110","144","63","53","312.75","487.5","-351.0","523.75","401.0","795.0","284.75","640.0","388.5","617.75","38.75","624.0","354.5","-88.75","334.75","-53.25","-122.0","238.0","200.0","588.5","353.25"
"25","90","147","6","238","127","161","42","200","176","166","238","149","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","217","134","232","60","119","42","49","75","111","248","90","179","95","33","231","9","133","222","235","91","187","123","244","12","178","72","105","25","149","114","202","77","10","28","44","88","101","44","110","5","63","31","345.8375","394.75","348.75","259.25","393.75","448.0","112.25","407.75","514.5","362.25","320.5","154.0","357.5","332.0","379.5","436.0","460.75","163.75","311.75","331.5","428.25"
"26","90","147","6","238","127","161","42","200","176","166","238","149","195","170","213","224","138","117","220","227","47","197","255","205","42","30","215","217","134","232","60","119","42","49","75","111","248","90","179","95","33","231","9","133","222","235","91","187","123","244","12","178","72","105","25","149","114","202","77","10","28","44","88","101","44","110","208","63","31","249.1375","340.75","370.25","305.25","-192.0","653.5","25.5","307.5","340.0","-3.5","300.75","528.5","459.0","154.0","625.25","474.25","36.0","-102.75","-308.0","551.75","116.75"
"27","90","147","6","238","127","161","42","200","176","166","238","149","195","170","66","224","138","117","220","227","47","197","255","204","42","30","215","217","134","232","60","119","42","49","75","111","248","90","179","95","33","231","9","133","222","235","91","187","123","244","12","178","72","105","25","149","114","202","77","10","28","44","88","101","44","110","208","63","31","345.5625","416.5","435.75","491.25","508.0","379.75","262.25","328.25","372.5","546.25","643.25","-2.0","112.0","-140.75","551.75","418.75","304.5","88.75","372.75","338.25","483.5"
"28","90","147","6","238","127","161","42","200","176","166","238","149","195","170","66","191","138","117","220","227","47","197","255","205","42","30","215","217","134","232","60","119","42","49","75","111","248","90","179","95","33","231","9","133","222","235","91","187","123","244","12","178","72","105","25","149","114","202","77","10","28","44","88","101","44","110","208","63","31","340.3625","478.5","605.75","367.25","173.75","254.0","284.75","161.5","195.75","196.5","584.0","398.25","103.75","318.75","393.5","253.0","274.75","402.75","441.75","462.75","456.25"
"29","90","147","6","238","127","161","42","200","176","166","238","149","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","217","134","232","60","119","42","49","75","111","248","90","179","95","33","231","9","133","222","235","91","187","123","244","116","178","72","105","25","149","114","202","77","10","28","44","88","101","44","110","208","63","31","423.4125","697.75","457.75","332.5","311.0","500.5","185.25","493.25","236.5","434.75","95.75","290.25","552.5","516.75","392.5","571.75","376.5","551.0","574.0","384.75","513.25"
"30","90","147","73","238","127","161","42","200","176","166","238","75","128","170","66","224","138","117","220","227","47","197","255","205","42","30","204","243","134","232","60","119","42","34","75","111","248","90","179","95","33","231","9","133","194","235","91","187","123","244","12","238","72","171","25","246","114","202","77","10","28","44","88","101","44","110","208","63","31","344.2","390.0","629.0","227.75","-73.0","-38.75","411.5","92.75","718.5","529.5","495.25","84.5","479.0","635.75","487.25","470.75","66.25","355.5","406.25","169.75","346.5"
"31","90","147","73","238","127","161","42","200","176","166","238","75","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","243","134","232","60","119","42","34","75","141","248","90","179","95","33","231","9","133","194","235","91","187","123","244","12","238","72","171","25","246","114","202","77","10","28","44","88","101","44","110","208","63","31","299.3","308.5","-142.5","558.25","583.25","295.0","213.0","51.5","216.25","-162.0","246.0","451.0","428.5","395.0","649.0","-213.0","515.5","448.25","551.25","269.25","324.0"
"32","90","147","73","238","127","161","42","200","176","166","238","75","195","170","66","224","138","117","220","227","47","197","255","205","42","30","215","243","134","232","60","119","42","34","75","111","248","90","179","95","33","231","9","133","194","235","91","187","123","244","12","238","72","171","25","246","114","202","77","10","28","44","88","101","44","110","208","63","31","287.9125","529.0","205.25","495.75","206.5","520.75","407.75","226.0","507.75","-115.0","451.25","435.0","602.0","-495.0","60.5","304.0","-155.75","486.25","323.75","617.5","145.0"
