"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","32","83","150","150","222","116","11","85","0","56","210","23","234","118","204","137","2","243","215","222","251","68","239","71","47","108","55","235","43","88","132","176","101","254","161","69","221","36","125","228","58","149","148","55","239","31","127","16","155","187","130","113","131","37","33","210","220","187","30","21","204","228","19","185","82","138.7625","159.0","155.0","119.75","176.0","154.75","114.75","150.25","234.25","112.5","248.5","29.0","168.5","137.0","171.0","84.75","60.75","84.25","186.75","142.25","86.25"
"1","32","83","150","150","222","116","11","85","0","56","210","23","234","118","204","137","155","134","215","222","251","68","239","71","47","108","55","235","43","88","132","176","101","254","161","69","221","36","125","173","58","149","148","55","239","31","127","16","155","187","130","113","131","37","33","210","220","187","30","21","204","228","19","185","82","382.95","718.75","680.5","667.75","608.75","616.5","213.0","413.25","398.25","387.75","443.5","560.25","224.5","-51.5","235.0","609.5","-254.25","453.25","-52.0","222.75","563.5"
"2","32","83","150","150","222","116","11","85","0","56","210","23","234","118","204","137","155","134","215","222","251","68","239","71","47","108","55","235","43","88","132","176","101","254","161","69","221","36","125","173","58","149","148","168","239","31","127","16","155","187","130","113","131","165","33","210","220","187","30","21","204","228","19","185","82","361.7625","44.5","618.25","272.5","296.5","400.0","441.5","295.0","545.0","227.0","264.75","244.0","881.5","-215.25","226.5","744.5","196.5","438.5","339.5","297.25","677.25"
"3","32","83","150","150","222","116","11","85","0","56","210","23","234","118","204","137","155","134","215","222","251","68","239","71","47","108","55","235","43","88","132","176","101","254","161","69","221","36","125","173","58","149","148","55","239","31","127","16","155","187","130","113","131","37","33","210","220","187","30","21","204","228","19","185","82","368.4375","260.75","97.5","213.5","640.75","357.5","385.5","448.5","597.75","315.75","469.5","383.0","686.25","874.5","397.75","-314.0","-196.25","680.5","401.5","673.5","-5.0"
"4","32","83","150","150","222","116","11","85","0","56","210","23","234","118","204","137","155","134","215","222","251","68","239","71","47","108","55","235","43","88","132","176","101","254","161","69","221","36","125","173","58","149","148","55","239","31","127","16","155","187","130","113","131","37","33","210","220","187","30","21","204","228","19","185","82","212.45","419.0","390.75","-272.75","455.25","635.75","413.75","663.25","620.5","-349.0","565.5","384.25","188.75","295.5","-335.75","310.25","310.0","-307.75","580.25","-386.25","-332.25"
"5","32","83","150","150","213","116","166","202","0","60","198","23","246","118","204","137","155","134","215","222","251","68","239","71","47","185","55","235","43","88","107","176","27","175","244","109","221","36","125","173","58","149","148","55","239","57","127","16","155","187","130","113","131","37","33","210","220","187","30","21","143","228","19","224","82","320.7625","0.0","-299.0","463.0","450.75","201.25","453.75","406.75","619.0","688.5","-344.75","459.25","318.75","413.5","616.5","444.25","244.0","399.25","657.25","223.25","0.0"
"6","32","83","150","150","213","116","166","202","0","60","198","23","17","118","204","137","155","134","215","222","251","68","239","71","47","185","55","235","43","88","107","176","27","175","244","109","221","36","125","173","58","149","148","51","239","57","127","16","155","187","130","113","131","37","33","210","220","187","30","21","204","228","19","224","82","232.7625","-53.25","502.75","313.5","269.75","146.25","290.25","129.5","295.5","376.25","141.25","243.5","218.5","116.0","39.25","534.5","78.0","411.0","138.25","280.0","184.5"
"7","32","83","150","150","213","116","166","202","0","60","198","23","246","118","204","137","155","134","215","222","251","68","239","71","47","185","55","235","43","88","107","176","27","175","244","109","221","36","125","173","58","149","148","55","239","57","127","16","155","187","130","113","131","37","33","210","220","187","30","21","204","228","19","224","82","143.325","454.0","23.75","466.0","0.0","418.75","257.25","146.75","-383.5","452.75","462.75","195.25","372.0","243.0","186.25","-174.5","405.0","-212.5","-296.5","207.0","-357.0"
"8","32","83","150","150","213","116","166","202","0","213","198","23","246","118","204","137","155","134","215","222","251","68","239","71","47","185","55","235","43","88","107","176","27","175","244","109","221","36","125","173","58","149","148","55","239","57","127","16","155","187","130","113","254","37","33","210","220","187","30","21","204","228","19","224","82","229.825","443.75","401.5","471.25","38.5","422.0","-177.75","-105.75","298.25","241.25","638.5","223.75","-170.75","-148.25","24.5","-310.5","331.5","461.25","386.5","511.5","615.5"
"9","32","83","150","150","213","116","166","202","0","60","3","23","246","118","204","137","155","134","167","222","251","82","239","71","47","185","55","235","43","88","107","176","27","175","244","109","221","36","125","173","58","149","148","55","239","57","127","16","155","187","130","113","131","37","33","210","220","187","30","21","204","228","19","224","82","359.35","17.25","8.0","13.75","234.5","231.75","441.75","523.25","922.5","624.75","353.75","513.5","524.5","111.0","54.0","349.0","440.75","313.5","429.0","617.75","462.75"
