"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","224","30","119","143","194","167","65","45","210","179","53","28","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","47","24","159","101","202","119","76","215","271.175","212.5","370.5","120.75","275.25","437.25","123.5","266.5","584.5","449.75","271.75","231.5","181.25","303.75","287.5","224.25","516.25","85.25","116.75","348.75","16.0"
"1","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","224","30","119","143","194","167","65","45","210","179","53","28","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","243.2125","270.5","390.5","447.75","23.0","242.25","258.75","32.75","212.5","189.75","229.75","45.5","292.75","158.25","167.75","269.75","372.25","393.0","451.75","228.0","187.75"
"2","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","224","30","119","143","194","167","65","45","210","179","53","28","104","62","194","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","250.2","254.5","106.5","250.25","237.25","467.0","78.75","239.5","34.25","349.75","262.0","200.25","463.5","226.0","313.75","465.75","24.25","425.0","14.25","249.0","342.5"
"3","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","40","30","119","143","194","167","65","45","210","179","53","28","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","212.125","92.25","238.5","177.5","234.25","192.75","37.75","246.5","20.0","211.0","249.25","376.75","245.5","233.75","270.75","246.5","234.0","217.5","68.0","310.0","340.0"
"4","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","224","30","119","143","194","167","65","45","210","179","53","28","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","260.25","168.75","129.25","223.25","246.5","324.5","382.75","352.5","78.25","289.5","215.25","489.75","286.75","128.5","419.0","326.75","15.0","173.25","89.5","465.0","401.0"
"5","40","56","223","12","49","245","51","149","94","103","14","191","2","71","62","81","123","51","198","236","186","60","241","36","160","216","169","148","99","14","153","105","170","183","97","151","12","160","110","34","87","192","95","249","57","121","57","159","65","117","32","175","225","56","222","204","197","252","236","204","202","73","150","0","217","122.4375","74.25","24.25","170.5","92.0","21.25","72.75","22.0","164.25","133.5","118.5","132.0","131.5","136.0","137.0","91.5","162.25","191.25","71.25","289.75","213.0"
"6","40","56","223","12","49","245","51","149","94","103","14","191","2","71","62","81","123","51","198","236","186","60","241","36","160","216","169","148","99","14","153","105","170","183","97","151","12","160","110","34","87","192","95","249","57","121","57","159","65","117","32","175","225","10","222","204","197","252","236","204","202","73","150","0","217","113.4","137.5","46.0","70.5","184.0","93.75","206.5","74.25","49.75","101.25","207.5","123.0","98.75","59.0","202.75","122.5","0.0","133.5","251.75","14.75","91.0"
"7","40","56","223","12","49","245","51","149","94","103","14","191","210","71","62","81","123","51","198","236","186","60","241","36","160","216","169","148","99","14","153","105","10","183","97","151","12","160","110","34","87","192","95","249","57","121","57","159","65","117","32","175","225","56","222","204","197","252","236","204","202","73","150","0","217","69.5125","6.5","0.0","131.5","42.5","65.5","95.0","119.5","8.5","131.5","21.0","59.75","126.0","20.0","56.75","177.0","0.0","96.0","151.5","35.25","46.5"
"8","40","56","223","12","49","245","147","149","94","103","14","191","2","71","62","81","123","51","198","236","186","60","241","36","160","216","169","148","99","14","153","105","170","183","97","151","12","160","110","34","87","192","95","249","57","121","57","159","65","117","32","175","225","56","222","204","197","252","236","204","202","73","150","0","244","115.4375","135.5","143.75","71.5","87.25","237.0","65.5","81.5","109.75","48.25","41.0","95.75","99.75","71.25","82.25","78.0","222.25","18.5","172.5","217.75","229.75"
"9","40","56","223","12","49","245","51","149","94","103","14","191","2","71","62","81","123","51","198","236","186","60","241","36","160","216","169","148","99","14","153","105","170","183","97","151","12","160","110","34","87","192","95","249","57","121","57","159","65","117","32","175","225","56","222","204","197","252","236","204","202","73","150","0","217","121.85","142.5","37.5","81.75","170.75","211.5","205.25","84.75","114.25","123.25","96.0","150.25","75.25","160.0","103.5","151.25","275.5","117.5","53.5","82.75","0.0"
"10","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","249","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","3","130","107","16","201","124.95","238.0","78.75","240.5","54.0","165.75","161.5","75.25","84.25","241.5","295.0","223.0","113.0","0.0","85.25","85.25","5.5","54.0","0.0","98.75","199.75"
"11","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","17","38","87","176","177","227","87","25","92","61","24","60","77","211","111","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","194","231","98","3","130","107","16","201","46.8375","61.75","80.75","0.0","0.0","0.0","0.0","0.0","238.0","237.0","0.0","0.0","0.0","0.0","78.0","0.0","0.0","241.25","0.0","0.0","0.0"
"12","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","196","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","3","130","107","56","201","132.7375","216.25","320.5","136.25","0.0","0.0","322.5","51.0","226.75","22.0","39.5","111.25","180.25","226.25","31.5","54.5","165.5","113.75","186.25","89.25","161.5"
"13","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","3","130","107","16","201","128.325","118.5","190.5","205.75","0.0","148.75","126.0","237.5","159.25","51.25","150.75","88.5","0.0","238.25","0.0","210.75","95.0","4.5","34.25","276.25","230.75"
"14","95","42","38","188","132","24","16","170","86","181","155","11","107","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","94","186","176","0","30","85","237","212","231","98","3","130","107","16","201","102.725","54.5","149.5","0.0","0.0","23.25","34.25","98.0","163.0","192.5","196.25","18.5","171.0","287.75","133.75","0.0","9.25","123.5","0.0","151.25","248.25"
"15","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","181","237","124","42","155","163.9625","224.25","222.5","0.0","34.0","183.5","271.5","341.25","0.0","181.0","349.25","168.25","144.0","0.0","130.5","218.25","0.0","0.0","432.75","7.75","370.5"
"16","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","129","245","221","102","41","117","189","33","220","231","167","158","168","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","181","237","124","42","155","144.6625","0.0","192.25","428.75","399.0","252.25","367.0","196.5","15.5","0.0","55.75","268.5","172.25","9.25","180.25","0.0","464.0","0.0","0.0","0.0","-108.0"
