"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","225","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","112","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","145.775","199.0","391.75","17.5","222.25","226.5","243.5","0.0","6.75","192.75","-315.0","193.0","11.75","0.0","422.25","6.0","23.75","243.25","619.5","6.25","204.75"
"1","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","235.1875","202.25","173.25","246.75","330.5","383.25","226.75","196.25","230.25","380.25","6.0","545.5","360.75","191.0","203.25","359.25","257.0","204.75","0.0","0.0","206.75"
"2","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","63","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","180.3","475.25","215.25","447.5","117.75","218.25","6.75","233.25","6.25","139.75","163.25","0.0","135.25","406.75","75.5","210.25","391.75","6.75","15.25","326.25","15.0"
"3","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","235","252","95","107","59","164","74","63","18","215","96","70","48","250","209","71","193","80","11","219","139","40","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","235.3125","379.0","0.0","0.0","463.25","369.5","206.0","577.0","409.0","0.0","190.25","231.0","419.0","232.75","125.0","425.0","201.75","219.75","230.0","12.75","15.25"
"4","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","164","219","139","67","184","179","83","80","142","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","230.9125","326.5","236.0","393.75","0.0","191.0","430.75","414.0","196.75","156.0","668.25","11.75","299.0","170.25","6.25","239.0","484.25","241.75","18.75","125.5","8.75"
"5","6","57","182","91","227","83","118","115","197","210","248","92","237","56","2","31","42","162","88","219","28","202","199","177","62","87","195","202","77","231","23","5","76","134","196","95","47","199","12","191","222","16","234","79","37","94","139","133","60","44","30","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","114","107","223","15.425","0.0","0.0","236.75","0.0","0.0","0.0","71.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","83","116","62","87","195","202","77","231","23","5","76","134","196","95","47","199","12","191","222","16","234","79","37","94","139","133","60","44","30","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","114","107","223","218.1","22.25","15.25","201.25","193.0","0.0","611.25","326.25","158.5","146.5","13.0","204.75","375.25","232.0","0.0","203.5","194.5","678.0","235.75","551.0","0.0"
"7","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","23","5","76","134","196","95","47","199","12","191","222","16","234","79","37","94","139","133","60","44","30","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","220","107","223","251.2125","365.75","200.5","153.25","592.25","230.25","324.5","447.5","241.75","192.75","25.0","242.5","32.5","488.25","471.5","246.75","4.75","457.5","307.0","0.0","0.0"
"8","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","20","5","76","134","196","95","47","199","12","191","222","16","234","79","37","94","139","183","60","17","30","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","114","107","223","178.2625","19.5","188.75","221.25","474.75","262.25","438.0","0.0","-168.0","248.75","208.0","460.0","10.75","305.0","230.5","4.25","-103.0","157.75","401.5","205.25","0.0"
"9","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","23","5","76","134","196","95","47","199","12","191","222","16","234","79","37","94","139","133","60","44","30","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","114","107","223","190.1125","37.75","260.75","231.75","0.0","7.5","0.0","-233.75","470.25","415.0","12.25","818.25","414.75","67.5","0.0","207.75","342.25","271.25","36.0","259.25","183.75"
