"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","25","92","79","181","237","124","42","155","140","100.0125","334.25","0.0","0.0","0.0","170.5","0.0","0.0","12.25","0.0","394.75","7.5","159.25","0.0","0.0","433.5","0.0","178.0","175.25","0.0","135.0"
"1","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","25","210","79","181","237","124","42","155","140","147.55","0.0","199.5","0.0","0.0","0.0","15.5","377.5","600.25","173.0","183.25","445.0","195.0","0.0","0.0","207.75","0.0","186.5","0.0","172.0","195.75"
"2","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","188","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","25","92","79","181","237","124","42","155","140","113.8125","0.0","384.0","171.25","0.0","204.0","4.5","0.0","165.75","190.5","0.0","0.0","206.25","178.25","362.5","179.25","209.0","0.0","0.0","0.0","21.0"
"3","171","31","78","88","153","122","145","221","79","219","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","104","230","40","132","12","25","92","79","181","237","54","42","155","140","17.2","0.0","0.0","0.0","107.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","236.25"
"4","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","238","36","9","185","177","230","40","132","12","25","92","79","181","237","124","2","155","140","155.0125","0.0","337.0","360.0","0.0","189.0","209.5","226.75","0.0","0.0","5.5","368.75","0.0","0.0","219.25","348.25","518.0","0.0","0.0","159.5","158.75"
"5","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","130","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","245.275","391.25","242.0","348.25","225.5","94.75","455.75","15.75","6.25","297.75","178.0","289.5","279.5","456.5","0.0","405.0","135.5","342.5","424.5","7.0","310.25"
"6","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","186","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","120.1","324.75","212.25","0.0","229.0","119.5","0.0","0.0","223.25","243.5","218.75","121.0","0.0","226.5","0.0","227.5","0.0","0.0","246.0","0.0","10.0"
"7","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","251","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","131.3875","0.0","-702.0","243.0","0.0","233.5","258.25","120.0","0.0","0.0","0.0","181.5","159.25","443.0","276.75","430.5","211.25","216.0","4.5","346.25","206.0"
"8","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","44","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","178.5","0.0","0.0","116.25","418.5","6.5","212.75","0.0","207.25","477.25","0.0","461.5","474.5","225.25","146.5","117.25","114.25","230.5","240.0","121.75","0.0"
"9","56","49","189","241","191","125","249","123","254","52","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","28","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","138.425","0.0","0.0","0.0","111.5","0.0","427.75","0.0","5.0","0.0","244.25","228.75","0.0","438.0","5.5","431.75","310.0","59.0","305.75","201.25","0.0"
