"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","23","5","76","134","196","95","47","102","12","191","222","16","234","79","37","94","139","133","60","44","30","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","114","107","223","161.0875","216.25","218.0","233.0","9.5","443.75","164.0","192.5","335.75","239.25","43.75","0.0","217.5","274.75","0.0","0.0","10.25","231.25","137.0","25.5","229.75"
"1","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","23","5","76","134","196","95","47","199","80","191","222","16","234","79","37","94","139","133","60","44","30","242","118","189","182","82","124","195","42","73","231","232","187","218","109","4","114","107","223","200.1375","330.25","5.0","263.25","223.5","89.5","345.75","131.0","266.0","0.0","240.0","10.75","375.0","199.25","205.5","223.0","402.5","8.25","0.0","228.25","456.0"
"2","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","23","5","76","134","196","95","47","199","12","191","222","16","234","79","37","94","139","133","60","44","32","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","114","107","223","188.825","438.0","13.5","172.0","0.0","11.75","432.0","236.5","150.0","233.75","239.5","141.75","0.0","414.75","15.0","141.5","444.5","237.25","0.0","218.25","236.5"
"3","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","23","5","76","134","196","95","181","199","12","191","222","16","234","79","37","94","139","95","60","44","30","242","118","189","182","82","124","195","42","73","231","232","187","218","126","4","114","107","223","99.2625","0.0","0.0","232.75","163.25","158.75","177.75","13.75","5.0","265.5","243.25","15.0","22.75","186.75","0.0","237.0","263.75","0.0","0.0","0.0","0.0"
"4","6","57","182","91","227","110","118","115","197","210","248","92","237","56","2","31","42","162","88","219","205","202","199","116","62","87","195","202","77","231","23","5","76","134","196","95","47","199","12","191","222","16","234","79","37","94","139","133","60","44","30","242","118","189","182","82","124","99","42","73","231","232","187","218","126","4","114","107","223","192.025","246.75","170.0","246.75","178.75","4.75","13.0","13.5","17.5","126.75","3.5","177.5","483.75","202.25","0.0","234.0","245.75","487.25","376.75","204.5","407.5"
"5","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","181.2","0.0","429.25","322.75","315.75","235.5","148.5","0.0","180.75","89.5","206.0","6.0","385.25","233.0","206.75","167.25","0.0","0.0","12.5","460.5","224.75"
"6","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","175.0375","417.0","5.25","308.25","247.25","0.0","0.0","423.25","7.25","236.75","0.0","492.25","6.5","0.0","175.75","6.5","1.75","422.75","228.75","153.0","368.5"
"7","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","185","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","137.05","248.5","240.75","236.0","197.75","282.0","240.75","116.5","136.75","223.5","213.75","14.5","6.5","0.0","0.0","5.75","0.0","578.0","0.0","0.0","0.0"
"8","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","238","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","170.675","6.75","288.25","220.5","156.25","434.25","178.0","174.0","166.0","0.0","205.75","257.25","0.0","-324.0","209.25","458.75","248.75","186.0","228.0","14.75","305.0"
"9","56","49","189","241","191","125","249","123","254","86","240","132","97","54","215","173","167","200","62","255","19","41","120","120","209","93","212","187","252","95","107","59","164","74","63","111","215","96","70","48","250","209","71","193","80","11","219","139","67","184","179","83","80","208","17","161","173","13","24","129","218","85","221","152","160","42","227","116","94","239.5375","0.0","0.0","6.75","465.75","24.0","6.75","371.0","217.25","0.0","217.5","505.75","256.25","575.25","221.75","484.75","194.25","245.75","475.25","293.75","229.0"
