"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","27","232","227","76","137","53","117","141","151","240","38","48","164","237","103","44","245","18","153","170","200","41","227","9","247","72","120","79","38","132","119","232","96","200","3","199","184","139","135","203","164","74","242","72","106","194","63","243","84","179","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","108.41666666666667","93.75","161.25","70.25"
"1","27","232","227","76","137","53","117","141","151","240","38","48","164","237","103","44","245","18","153","170","200","126","227","9","247","72","120","79","38","132","119","240","96","200","3","199","184","139","135","203","164","74","242","72","106","194","63","243","84","57","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","141.5","224.0","98.75","101.75"
"2","27","232","227","76","137","53","117","141","151","240","38","48","164","237","103","44","245","18","153","170","200","41","227","9","247","72","120","79","38","132","119","240","96","200","3","199","184","139","135","203","164","74","242","72","106","194","63","243","84","179","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","115.5","81.0","97.25","168.25"
"3","27","232","227","76","137","53","117","141","151","240","38","48","164","237","103","44","245","18","153","170","200","41","227","9","247","72","120","79","38","132","119","240","96","200","3","199","184","139","135","203","164","49","242","72","106","194","63","243","84","179","168","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","134.83333333333334","161.0","154.75","88.75"
"4","27","232","227","76","137","53","117","141","151","240","38","48","164","237","103","44","245","18","153","170","200","41","227","9","247","72","120","79","38","132","119","240","96","200","3","199","184","139","135","203","164","74","242","72","106","194","63","243","84","179","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","96.0","84.0","50.5","153.5"
"5","27","232","227","76","137","53","40","141","151","240","171","48","164","237","103","30","245","18","153","170","200","41","227","9","120","72","120","79","38","132","119","240","96","200","3","199","184","139","135","203","164","74","242","72","89","194","63","243","84","179","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","122.5","132.25","145.5","89.75"
"6","27","232","227","76","137","53","117","141","151","240","171","48","164","237","103","44","245","18","153","170","200","41","227","9","233","72","120","79","38","132","119","240","96","200","3","199","184","139","135","203","164","74","242","72","89","194","63","243","84","179","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","134.08333333333334","147.0","141.75","113.5"
"7","27","232","227","76","137","53","117","141","151","240","171","48","164","237","103","44","245","18","153","170","200","41","227","9","233","72","120","78","38","132","158","240","96","200","3","199","184","139","135","203","164","74","242","117","89","194","63","243","84","179","156","154","103","104","89","114","124","164","25","193","74","128","186","176","229","253","61","7","241","313.8333333333333","336.25","292.25","313.0"
"8","27","64","227","76","137","53","117","141","151","240","171","48","164","237","103","44","245","18","153","170","200","41","227","9","233","72","120","79","38","132","119","240","96","200","3","199","184","67","135","203","164","74","242","72","89","194","63","243","84","179","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","95.5","107.0","64.5","115.0"
"9","27","232","227","76","137","53","117","141","151","240","171","48","164","237","103","44","245","18","153","170","200","41","227","9","233","72","120","79","38","132","119","240","96","200","3","199","184","139","135","203","164","74","242","72","89","194","63","243","84","179","156","154","103","104","89","114","124","164","72","193","74","128","186","176","229","253","61","7","241","75.91666666666667","105.5","65.25","57.0"
