"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","3","2","98","215","195","70","147","99","98","240","227","198","31","172","184","218","62","74","161","240","235","236","84","147","177","56","251","1","3.75","0.0","11.25","0.0"
"1","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","147","99","98","240","227","198","31","172","184","218","62","23","161","240","201","236","84","147","177","56","251","1","77.58333333333333","189.5","0.0","43.25"
"2","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","147","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","68.83333333333333","197.25","0.0","9.25"
"3","176","168","170","22","160","146","95","246","15","174","71","33","20","46","225","202","254","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","147","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","112.75","0.0","298.5","39.75"
"4","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","27","147","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","79.16666666666667","197.75","15.25","24.5"
"5","250","148","1","162","4","61","200","207","237","252","245","45","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","200","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","153.08333333333334","0.0","411.0","48.25"
"6","250","148","1","162","4","61","200","207","237","252","245","45","232","174","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","32","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","146.0","0.0","196.75","241.25"
"7","250","148","1","162","4","61","200","207","237","252","245","98","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","4","53","106","223","128","40","118","188","130","41","32","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","58.25","0.0","13.25","161.5"
"8","250","148","1","162","4","61","200","207","237","252","245","45","232","118","145","194","38","230","116","70","151","91","131","55","194","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","32","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","0.0","0.0","0.0","0.0"
"9","250","148","1","162","4","61","200","207","237","252","245","45","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","32","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","76.91666666666667","230.75","0.0","0.0"
