"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","172","231","8","55","199","19","51","213","63","88","226","173","18","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","26","205","40","228","59","56","145","231","199","122","190","103","198","43","54","28","18","243","110","172","65","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","70.83333333333333","53.25","26.75","132.5"
"1","172","231","8","43","199","19","51","213","63","88","226","173","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","26","205","40","228","59","56","145","231","199","122","190","236","198","43","54","28","18","243","110","172","65","172","114","34","247","243","75","17","87","235","179","144","209","206","239","251","153","185","237","108","199","50.666666666666664","66.5","59.25","26.25"
"2","172","231","8","55","199","111","51","213","63","88","226","173","44","191","216","120","103","25","41","37","182","179","171","168","222","112","34","169","26","205","40","228","59","56","145","231","199","122","190","236","198","43","54","28","18","243","110","191","65","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","66.0","53.25","70.25","74.5"
"3","172","231","8","55","199","19","51","213","63","88","226","205","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","26","205","40","228","59","56","145","231","199","122","190","103","198","43","54","28","18","243","110","172","65","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","67.08333333333333","54.75","103.25","43.25"
"4","172","231","8","55","199","19","140","213","63","88","226","173","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","26","205","40","228","59","56","145","231","199","122","190","103","198","43","54","28","18","243","110","172","65","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","5","199","70.58333333333333","72.75","69.5","69.5"
"5","172","231","8","55","199","19","51","213","63","88","226","173","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","78","205","40","228","59","56","145","231","199","122","190","103","39","43","54","28","18","243","110","172","190","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","62.0","0.0","161.5","24.5"
"6","172","231","8","55","199","19","51","213","63","88","226","173","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","78","205","40","228","59","56","145","231","199","122","190","103","39","43","54","28","18","243","110","172","190","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","74.91666666666667","25.25","150.75","48.75"
"7","172","231","8","55","199","19","51","213","87","88","226","173","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","78","205","40","228","165","56","145","231","199","122","190","103","39","43","54","28","18","243","110","172","190","168","114","157","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","61.25","41.25","69.0","73.5"
"8","172","231","8","55","199","19","51","213","63","88","226","173","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","78","205","40","228","59","56","145","231","199","122","190","103","39","43","54","28","18","243","110","172","190","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","28.333333333333332","27.25","26.5","31.25"
"9","172","231","8","55","199","19","51","213","63","88","226","173","44","191","216","120","103","25","41","37","173","179","171","168","222","112","34","169","78","205","40","228","59","56","145","231","199","122","190","103","39","43","54","28","114","243","110","172","190","168","114","84","247","243","75","17","87","235","159","144","209","206","239","251","153","185","237","108","199","42.333333333333336","67.0","0.0","60.0"
