"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","107","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","244","7","78","55","123","145","253","49","103","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"1","7","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","233","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"2","7","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"3","7","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","32","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","39","201","200","34","45","226","7","169","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"4","7","104","94","227","55","121","232","98","114","199","145","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"5","245","43","35","7","182","4","52","94","214","111","229","240","14","149","7","160","49","23","237","23","221","128","253","13","40","61","206","176","117","178","213","223","210","43","254","108","41","89","29","24","149","154","247","251","246","238","110","253","161","178","11","9","89","130","70","131","251","39","251","237","230","155","213","112","20","0.0","0.0","0.0","0.0"
"6","245","43","35","7","182","4","52","94","214","111","229","240","14","149","7","160","49","23","237","23","221","128","253","13","40","61","206","176","117","178","213","223","210","43","254","108","41","196","29","24","149","154","247","251","246","238","110","253","161","178","11","9","89","130","70","131","251","39","251","237","230","155","213","112","20","0.0","0.0","0.0","0.0"
"7","245","43","35","7","182","4","52","94","214","111","229","240","14","149","7","160","49","23","237","23","221","128","253","13","40","61","206","176","117","178","213","223","210","43","254","108","41","89","29","24","149","154","247","251","246","238","110","253","161","178","11","9","89","130","70","131","251","39","251","237","230","155","213","112","20","0.0","0.0","0.0","0.0"
"8","245","43","35","7","182","4","52","94","214","111","229","240","14","149","7","160","49","23","237","23","221","128","253","13","40","61","206","176","117","178","213","223","210","43","89","108","41","89","29","24","149","154","247","251","246","238","110","253","63","178","11","9","89","130","70","131","251","39","251","237","230","155","213","112","20","0.0","0.0","0.0","0.0"
"9","245","43","35","7","182","4","52","94","214","111","229","240","14","149","7","160","49","23","237","23","221","128","253","13","40","61","206","176","117","178","213","223","210","43","254","108","41","89","29","24","149","154","247","251","246","238","110","253","161","178","11","9","89","130","70","102","251","39","251","237","230","155","213","112","20","0.0","0.0","0.0","0.0"
