"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit"
"0","183","42","154","104","160","238","217","201","116","89","3","87","46","215","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","57","160","32","65","165","211","74","20","199","231","40","14","201","132","9","203","35","80","93","253","190","328.8","582.0","406.0","233.5","204.75","195.0","320.5","411.25","99.25","703.25","64.75","403.5","198.25","310.5","541.5","258.0"
"1","183","42","154","104","160","238","217","201","116","89","3","87","46","215","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","57","160","32","65","165","211","74","20","199","231","40","14","201","132","9","203","35","80","93","186","190","517.8666666666667","387.0","507.75","423.0","454.0","664.0","363.5","571.25","437.5","651.75","442.0","593.5","692.5","550.0","487.25","543.0"
"2","183","42","154","104","160","238","217","201","116","89","3","87","46","215","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","57","160","32","65","165","211","74","20","199","231","190","14","201","132","9","203","35","80","93","186","190","96.03333333333333","164.25","85.75","47.25","180.5","72.25","39.25","66.0","45.25","203.25","68.0","77.25","68.75","75.5","57.0","190.25"
"3","183","42","154","104","160","238","217","201","116","89","3","87","46","215","16","213","12","161","156","160","147","225","216","42","120","250","98","204","57","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","57","160","32","65","165","211","74","20","199","231","40","14","201","132","9","203","35","80","93","186","190","404.1","559.25","326.5","347.5","318.75","347.75","380.25","318.5","585.75","425.25","399.0","357.5","485.25","605.75","555.0","49.5"
"4","183","42","154","104","160","238","217","201","116","89","3","87","133","215","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","70","117","255","115","134","247","203","57","160","32","65","165","211","74","20","199","231","40","14","201","132","9","203","35","80","93","186","190","328.6166666666667","657.0","491.5","227.25","372.75","346.5","344.75","284.0","-371.25","277.5","499.5","236.25","373.5","283.25","364.75","542.0"
"5","183","42","154","104","160","238","217","59","116","89","3","87","46","128","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","211","2","215","65","165","211","241","20","240","231","40","14","201","132","18","203","35","80","93","193","190","218.91666666666666","0.0","478.0","784.0","307.75","-25.25","303.0","322.75","728.25","268.75","305.25","381.25","-864.75","-493.25","491.25","296.75"
"6","183","42","154","104","160","238","217","59","116","89","3","87","46","128","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","211","160","32","65","165","211","241","20","240","231","40","14","201","132","18","200","35","80","93","186","190","477.3666666666667","650.25","434.25","625.25","381.0","123.25","508.25","369.75","711.5","382.0","452.5","404.5","357.25","569.25","663.75","527.75"
"7","183","42","154","104","160","238","217","59","116","89","3","204","46","128","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","49","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","211","160","32","65","165","211","241","20","240","231","40","14","201","132","18","203","35","80","93","186","190","491.3833333333333","623.25","646.5","529.25","552.75","535.75","552.75","601.25","198.25","314.25","743.75","330.25","371.75","399.5","432.75","538.75"
"8","183","42","154","151","160","238","217","59","116","89","3","87","46","128","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","126","247","203","241","214","32","65","165","211","241","20","240","231","40","14","201","132","18","24","35","80","93","186","190","383.5","395.75","403.75","518.25","259.0","553.5","307.5","434.25","362.25","441.0","261.25","289.5","277.0","414.5","332.5","502.5"
"9","183","42","154","104","160","238","217","59","116","89","3","229","46","128","16","213","12","161","156","160","147","225","216","42","120","250","98","204","169","77","50","40","27","209","171","57","235","243","115","187","178","231","117","255","115","134","247","203","211","160","32","65","165","211","241","20","240","231","40","14","201","132","18","203","35","80","93","186","190","459.28333333333336","438.25","418.5","349.75","516.75","239.0","619.0","417.75","641.75","698.0","348.75","337.5","843.0","249.5","395.5","376.25"
