"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit"
"0","183","120","247","43","15","163","103","52","116","89","3","28","23","82","16","79","25","155","156","178","147","4","157","32","69","46","238","54","78","77","53","40","27","209","47","139","40","65","241","165","96","89","109","231","177","1","156","59","8","160","32","65","20","211","74","164","38","231","59","35","115","35","30","26","186","403.3333333333333","386.0","394.75","194.0","750.25","255.0","616.0","98.75","637.5","146.0","281.5","468.0","243.0","555.75","475.25","548.25"
"1","183","120","247","43","15","163","103","52","116","89","3","28","23","82","16","79","25","155","156","178","147","4","157","32","64","46","238","81","78","77","53","40","27","209","47","139","40","65","241","165","96","89","109","231","130","1","156","59","8","160","32","65","20","211","74","164","38","231","59","35","115","35","30","26","186","398.35","479.25","355.5","145.5","291.75","423.25","365.5","440.75","552.25","541.25","454.25","269.25","678.0","340.25","369.5","269.0"
"2","183","120","247","43","15","163","103","52","116","89","3","231","23","82","16","79","25","155","156","178","147","4","157","32","64","46","238","81","78","77","53","40","27","209","47","139","40","65","241","165","96","89","109","231","177","1","156","59","8","160","32","65","20","211","74","164","38","231","59","35","115","35","30","26","186","381.7","344.5","468.25","354.25","424.75","431.75","563.5","271.25","608.75","283.75","673.5","359.75","284.0","91.5","414.75","151.25"
"3","183","120","247","43","15","163","103","52","116","89","3","28","23","82","16","79","25","155","156","178","147","4","157","32","64","46","238","81","78","77","53","40","27","209","47","139","40","65","241","165","96","89","109","231","233","1","156","59","8","160","32","65","20","211","74","164","38","231","59","35","115","35","30","26","186","414.6333333333333","433.0","268.75","369.25","568.75","264.5","272.0","489.5","316.25","348.0","490.0","593.5","311.5","515.75","441.5","537.25"
"4","183","120","247","43","15","163","103","52","116","89","3","28","23","82","16","79","25","155","156","178","147","4","157","32","103","46","238","81","78","77","53","40","27","209","47","139","40","65","241","165","96","89","3","231","177","1","156","59","8","160","32","65","20","211","74","164","38","231","59","35","115","35","30","26","186","358.76666666666665","460.0","584.0","344.5","167.5","30.5","331.75","206.75","565.5","440.25","540.25","134.5","366.5","211.25","746.5","251.75"
"5","183","120","80","43","160","163","62","52","116","89","3","167","23","82","16","79","25","161","156","178","147","238","157","32","64","46","5","81","78","77","53","40","152","209","204","212","40","65","148","165","96","89","109","231","177","1","156","59","8","160","32","65","20","211","74","197","38","231","59","35","203","35","30","26","186","281.3833333333333","230.25","546.25","388.25","647.5","352.25","-91.25","106.5","164.75","-15.0","52.25","536.0","196.0","426.5","373.75","306.75"
"6","183","120","80","43","160","163","62","52","116","89","3","167","23","82","16","79","25","161","156","178","147","238","157","32","64","46","5","81","78","127","53","40","152","209","204","212","40","204","148","165","96","89","109","231","177","1","156","59","8","160","32","65","20","211","74","197","38","231","59","35","203","35","30","26","186","252.78333333333333","0.0","258.25","550.75","122.75","241.25","120.5","1.5","545.5","343.25","213.5","253.0","220.25","283.75","212.0","425.5"
"7","183","120","80","43","160","89","62","52","116","89","3","167","23","82","16","79","25","161","156","178","147","238","157","32","64","46","5","81","78","77","53","40","152","150","204","212","40","65","148","165","96","89","109","231","177","1","156","59","8","160","32","65","20","211","74","197","38","231","59","35","203","35","30","26","186","344.8","144.5","462.5","438.0","362.25","437.0","167.25","213.5","64.25","489.0","313.75","414.25","462.75","326.5","384.5","492.0"
"8","183","120","80","43","160","163","62","52","174","89","3","167","23","82","16","79","25","161","156","178","147","238","157","32","64","46","5","81","78","77","53","40","78","209","204","212","40","65","148","165","96","89","109","231","177","1","156","59","8","160","32","65","20","211","74","197","38","231","59","35","203","35","30","26","186","371.6333333333333","433.25","673.75","545.75","385.25","229.0","200.0","119.25","245.25","229.5","377.75","522.5","121.5","399.25","664.75","427.75"
"9","183","120","80","43","160","163","62","52","116","89","3","167","23","82","16","79","25","161","156","178","147","238","157","32","64","46","5","81","78","77","53","40","152","209","204","212","40","65","148","165","96","89","109","231","177","1","156","59","8","160","32","65","20","211","74","197","38","231","59","35","203","35","30","26","186","378.76666666666665","214.75","413.25","199.0","334.5","537.25","413.0","770.0","476.75","369.0","198.0","232.25","355.5","406.25","255.25","506.75"
