"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit"
"0","175","22","215","132","160","71","122","32","125","107","241","108","242","166","47","69","252","64","181","97","40","217","117","166","131","237","7","198","197","237","208","125","118","194","102","120","48","126","95","34","151","88","150","160","83","251","122","151","36","218","187","0","114","13","169","208","197","128","42","7","163","244","207","132","227","284.8666666666667","-340.75","580.75","231.5","705.0","125.75","-196.25","610.0","564.75","558.25","9.25","155.75","220.5","180.5","376.75","491.25"
"1","175","22","215","132","160","71","122","32","125","107","241","108","242","166","47","69","252","64","181","97","40","217","117","166","131","237","57","198","197","237","208","125","118","194","102","120","48","126","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","13","169","208","197","128","42","7","163","244","207","132","227","300.73333333333335","629.75","470.0","83.75","79.0","6.5","60.0","447.5","224.5","330.25","207.0","140.75","484.0","437.75","243.25","667.0"
"2","175","22","215","132","160","71","122","32","125","107","241","108","242","166","47","69","252","64","181","97","40","217","117","166","131","237","7","198","197","237","208","218","118","194","102","120","48","126","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","13","169","208","197","128","42","7","163","244","207","132","227","202.58333333333334","-216.0","217.5","450.25","370.25","654.0","485.0","461.5","401.5","589.5","311.5","451.5","-828.25","378.0","-1122.25","434.75"
"3","175","22","215","132","160","71","122","32","125","107","241","108","242","166","47","69","252","64","181","97","40","217","117","166","131","237","7","198","197","237","208","125","118","194","102","120","48","126","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","13","169","208","197","128","42","7","163","244","207","132","227","310.06666666666666","256.0","-124.25","513.75","326.25","402.0","93.0","216.25","755.25","569.75","388.5","205.75","-316.25","537.75","154.5","672.75"
"4","175","22","215","132","160","71","122","32","125","107","241","108","242","166","47","69","252","64","181","97","40","217","117","166","131","237","7","198","197","239","208","125","118","194","102","120","48","126","95","34","151","88","150","160","83","152","122","151","36","218","187","71","114","13","169","208","197","128","42","7","163","244","207","132","227","262.95","513.25","141.75","-392.5","181.75","642.75","480.5","423.0","772.75","0.0","687.5","403.75","771.0","0.0","-918.0","236.75"
"5","175","22","215","45","160","71","122","234","125","107","241","108","242","6","47","3","252","64","181","97","40","217","117","166","131","152","7","198","197","233","208","86","118","194","102","120","48","145","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","228","169","208","197","128","117","7","163","244","207","132","227","270.5","-411.0","201.5","638.5","220.0","610.75","-95.5","341.0","157.75","746.5","610.75","196.75","189.75","248.25","189.5","213.0"
"6","175","22","215","45","160","71","122","234","125","107","241","108","242","6","47","3","252","64","181","97","40","217","117","166","131","152","7","198","197","233","208","125","118","194","102","120","48","145","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","228","169","208","197","128","117","7","163","244","207","132","227","466.43333333333334","383.25","167.5","621.0","396.0","426.5","187.5","326.25","668.75","727.5","156.75","725.5","669.0","287.0","586.0","668.0"
"7","175","22","215","45","160","71","158","234","125","107","241","108","242","6","47","3","252","64","181","97","40","217","117","166","131","152","7","198","197","233","208","125","182","194","102","120","48","145","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","228","169","208","197","128","117","7","163","244","207","132","227","246.66666666666666","-291.25","305.25","408.0","256.5","134.5","150.5","137.0","660.5","187.0","676.5","-88.5","372.0","455.5","336.5","0.0"
"8","175","22","215","45","160","71","122","234","125","107","241","108","242","6","47","3","252","64","181","97","40","217","117","166","131","152","7","198","197","233","208","125","118","194","102","120","48","145","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","228","169","208","197","128","117","7","163","244","207","132","227","411.3","450.0","417.75","368.25","-129.25","657.5","868.5","381.75","686.0","533.0","357.0","240.0","389.0","-12.0","409.75","552.25"
"9","175","22","215","45","160","71","122","234","125","107","157","108","242","6","47","3","252","64","181","97","40","217","117","166","131","152","7","198","197","233","208","125","118","194","102","120","48","145","95","34","151","88","150","160","83","152","122","151","36","218","187","0","114","228","169","208","197","128","117","7","252","244","207","132","227","351.48333333333335","248.25","7.5","0.0","158.25","543.5","0.0","830.25","461.75","682.25","605.0","-4.75","435.75","496.75","336.25","471.5"
