"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","154","144","254","216","91","77","66","222","93","213","79","199","165","49","5","107","73","4","249","250","217","132","98","17","81","0","140","59","71","215","151","161","227","255","245","187","188","129","105","95","53","146","23","162","33","25","178","101","182","17","202","247","230","224","170","89","202","183","24","41","184","97","235","157","61","118","234","238","13","8.5","0.0","25.5","0.0"
"1","154","144","254","216","91","77","66","222","93","213","79","199","165","49","5","107","73","4","249","250","217","132","98","17","81","0","140","59","71","215","151","161","227","255","245","187","188","129","105","95","9","146","23","162","33","25","178","101","182","17","202","247","230","224","170","89","202","183","24","41","184","97","235","157","61","118","234","238","183","25.416666666666668","26.75","0.0","49.5"
"2","154","144","254","216","91","117","66","222","93","213","79","199","165","49","5","107","73","4","249","250","217","132","98","17","81","0","140","59","71","215","151","161","227","255","245","187","188","129","105","95","9","146","23","162","33","25","178","101","182","17","202","247","230","224","170","89","202","183","24","41","184","97","235","157","61","118","234","238","13","7.666666666666667","0.0","23.0","0.0"
"3","154","144","254","216","91","77","66","222","93","213","79","199","165","49","5","107","73","4","249","250","217","132","98","17","81","0","140","59","71","215","151","161","227","255","245","187","188","129","105","95","9","146","23","162","33","25","178","101","182","17","202","247","230","224","170","89","202","183","24","41","184","97","235","157","110","118","234","238","13","20.5","28.25","10.0","23.25"
"4","154","144","254","216","91","77","66","222","93","213","79","199","165","49","5","107","73","4","249","250","217","132","98","17","81","0","140","59","71","215","151","161","227","255","245","187","188","129","105","95","9","146","23","162","33","25","178","101","182","17","202","247","230","224","170","89","202","183","24","41","184","97","235","157","61","118","234","238","13","0.0","0.0","0.0","0.0"
"5","235","18","27","47","43","153","163","19","40","155","157","148","65","56","61","96","175","64","100","178","108","85","158","190","173","186","156","243","223","124","70","109","79","78","158","64","41","49","58","193","159","205","14","19","239","226","174","30","221","237","115","136","183","22","148","12","230","134","154","119","54","73","227","89","36","15","156","121","110","0.0","0.0","0.0","0.0"
"6","235","18","27","47","43","153","163","19","40","155","157","148","65","56","61","96","175","64","100","178","108","110","158","190","1","186","156","243","223","124","70","109","79","78","158","64","41","49","58","193","159","205","14","19","239","226","174","30","221","237","115","136","183","22","148","12","230","134","154","119","54","73","227","89","36","129","156","121","110","0.0","0.0","0.0","0.0"
"7","235","18","27","47","43","153","163","19","40","155","157","148","65","56","61","96","175","64","100","178","108","110","158","190","217","186","156","243","223","124","70","109","79","78","158","64","41","49","58","193","159","205","14","19","239","226","25","30","221","237","115","136","183","22","148","12","230","134","154","119","54","73","227","89","36","15","156","121","110","0.0","0.0","0.0","0.0"
"8","235","18","27","47","43","153","163","19","40","155","157","148","65","56","61","96","175","64","100","178","108","110","158","190","217","186","156","243","223","124","70","109","79","78","158","64","41","49","58","193","159","205","14","19","239","226","174","30","221","237","115","136","183","22","148","12","230","134","154","119","54","73","227","89","36","15","156","121","110","0.0","0.0","0.0","0.0"
"9","235","18","27","47","43","153","163","19","0","155","157","148","65","56","61","96","175","64","100","178","108","110","158","190","217","186","156","243","223","124","70","109","79","78","158","64","41","49","58","193","159","205","14","19","239","226","174","30","221","237","115","136","183","22","148","12","230","134","154","119","54","73","227","89","36","15","156","121","110","0.0","0.0","0.0","0.0"
