"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit"
"0","249","238","241","201","51","85","163","196","8","64","1","211","10","8","243","97","88","126","170","203","35","150","55","173","151","17","157","3","41","203","167","106","32","72","12","228","224","186","81","73","9","136","29","9","53","160","5","5","231","40","162","62","210","11","15","239","15","159","22","4","15","86","176","221","121","62","91","112","244","345.5","345.5"
"1","249","238","241","201","51","85","163","196","8","64","1","211","10","8","243","97","88","126","170","203","35","150","55","173","151","17","157","3","41","203","167","106","32","72","12","228","224","186","81","73","9","136","29","9","53","160","5","5","231","40","162","62","210","11","15","239","15","159","22","4","15","86","104","221","121","62","91","112","244","427.5","427.5"
"2","249","238","241","201","51","85","163","196","8","64","1","205","10","8","243","97","88","126","170","203","35","150","55","173","151","17","157","3","41","203","167","106","32","72","12","228","224","186","81","73","9","136","29","9","53","117","5","5","231","40","162","62","210","11","15","239","15","159","22","4","15","86","104","221","121","62","91","112","244","190.75","190.75"
"3","249","238","241","201","51","85","163","196","8","64","1","211","10","8","243","97","88","126","170","203","35","150","55","173","151","17","157","3","41","203","167","106","32","72","12","228","224","186","81","73","9","136","29","9","53","160","5","214","231","40","103","62","210","11","15","239","15","159","22","4","15","86","104","221","121","62","91","112","244","616.75","616.75"
"4","249","238","241","201","51","85","163","196","8","64","1","211","10","8","243","97","88","126","170","203","35","150","55","173","151","17","157","3","41","203","167","106","32","72","12","228","224","186","81","73","9","136","29","9","53","160","5","5","231","40","162","62","210","11","15","239","15","159","22","4","15","86","89","221","121","62","91","112","244","363.5","363.5"
"5","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","123","49","227","218","150","40","110","74","99","154","246","20","252","239","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","68","46","74","78","87","135","170","94","133","199","16","70","88","0.0","0.0"
"6","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","116","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","2","154","246","20","252","239","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","68","46","74","78","87","135","195","94","133","199","16","70","88","245.0","245.0"
"7","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","99","154","246","20","252","239","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","68","46","74","78","87","135","195","94","133","199","16","70","88","273.25","273.25"
"8","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","99","154","246","20","252","239","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","68","46","74","78","87","135","195","94","133","199","16","70","88","0.0","0.0"
"9","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","99","154","246","20","252","160","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","236","46","74","78","87","135","195","94","133","199","16","70","88","44.75","44.75"
