"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit"
"0","237","35","94","95","59","168","207","65","62","171","120","24","69","80","157","126","44","155","252","20","46","6","228","197","148","165","23","139","245","173","79","136","91","213","160","87","53","186","238","165","204","48","15","180","212","24","181","160","53","229","39","180","73","98","178","46","219","169","52","25","183","65","254","91","106","0.0","0.0"
"1","237","35","94","95","59","168","207","65","62","171","120","24","69","80","157","126","44","155","252","20","46","6","228","197","148","165","23","97","245","173","79","136","91","213","160","87","53","186","238","165","204","48","15","180","212","24","181","160","53","229","39","180","73","98","178","46","219","169","52","25","183","65","254","91","106","0.0","0.0"
"2","237","35","94","95","59","168","207","65","62","171","120","24","69","80","157","126","44","155","252","40","168","6","228","197","148","165","23","97","245","173","79","136","91","213","160","87","53","186","238","165","204","48","15","180","212","24","181","160","53","229","39","180","73","98","178","46","219","169","52","25","183","65","254","91","106","365.25","365.25"
"3","237","35","94","95","59","168","207","65","62","171","120","24","69","80","157","126","44","155","252","20","46","6","228","197","148","165","23","97","245","173","79","136","91","213","160","87","53","186","238","165","204","48","15","180","212","24","181","160","53","229","39","180","73","98","178","46","219","169","52","25","183","65","254","91","106","0.0","0.0"
"4","237","35","94","95","59","168","207","65","62","171","120","24","69","80","157","126","44","155","252","20","46","6","228","197","148","165","23","97","245","173","79","136","91","213","160","87","53","186","238","165","204","48","15","180","212","24","181","160","53","229","39","180","73","98","178","46","219","169","52","25","183","65","254","91","106","0.0","0.0"
"5","230","117","84","25","54","229","226","55","80","76","102","141","237","80","74","130","250","177","109","240","209","134","97","218","145","120","205","24","3","79","121","96","241","26","10","173","134","26","166","153","201","169","112","18","179","217","51","69","144","200","11","106","175","238","149","164","147","11","28","173","108","138","7","34","253","293.5","293.5"
"6","230","117","84","25","54","133","226","55","80","76","102","141","237","80","74","130","250","177","109","240","209","134","97","218","53","120","5","24","3","79","121","96","241","26","10","173","134","26","31","153","201","169","112","18","179","217","51","69","144","200","11","106","175","238","149","164","147","11","28","173","108","138","7","143","253","0.0","0.0"
"7","230","117","84","25","54","229","226","55","80","76","102","141","237","80","74","130","250","177","109","240","209","134","97","218","53","120","5","24","3","79","121","96","241","26","10","173","134","26","166","153","201","169","112","18","179","217","51","69","144","200","11","106","225","238","149","164","147","11","28","173","108","138","7","143","253","200.75","200.75"
"8","230","117","84","25","54","229","226","55","80","76","102","141","237","80","74","130","250","177","109","240","209","134","97","218","53","120","5","24","3","79","121","96","241","26","197","173","134","26","166","153","201","169","112","18","179","217","51","69","144","200","11","106","175","238","149","164","147","11","28","173","108","138","7","143","253","128.5","128.5"
"9","230","117","84","25","54","229","226","55","80","76","102","141","237","80","74","130","250","177","109","240","209","134","97","218","53","120","5","24","3","79","121","96","241","26","10","173","134","26","166","153","201","169","112","18","179","217","51","69","144","98","11","106","175","238","149","164","147","11","28","173","144","138","7","143","253","270.5","270.5"
