"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit"
"0","150","40","105","28","31","182","122","20","35","69","156","231","140","247","16","114","82","149","182","207","214","148","52","34","213","133","96","27","38","19","116","40","175","20","213","9","199","246","197","76","238","207","222","8","192","109","135","222","187","142","45","15","196","247","43","108","81","233","117","59","140","95","8","172","178","73","74","161","39","0.0","0.0"
"1","150","40","105","28","31","182","122","100","35","69","156","231","140","247","16","114","82","149","182","207","214","148","52","34","213","133","96","27","38","19","116","40","175","20","213","9","199","246","197","76","238","207","222","8","192","109","135","222","187","142","45","15","196","247","43","108","81","233","117","59","140","95","8","172","178","73","74","161","39","78.5","78.5"
"2","150","40","105","28","31","182","122","100","35","69","156","231","140","247","16","114","82","149","182","207","214","148","52","34","213","133","96","27","38","19","116","40","175","20","213","9","199","246","197","76","238","207","222","8","192","109","135","222","187","142","45","15","196","247","43","108","81","233","117","59","140","95","8","172","178","73","74","161","39","134.25","134.25"
"3","150","40","105","28","31","182","122","100","35","69","156","231","140","247","16","114","82","149","182","181","214","148","52","34","213","133","96","27","38","19","116","40","175","20","213","9","199","246","197","76","238","207","222","8","192","109","135","222","187","142","45","15","196","247","43","108","81","233","117","59","140","95","8","172","178","73","74","161","39","205.0","205.0"
"4","150","40","105","28","31","182","122","100","35","69","156","231","140","247","16","114","82","149","182","207","214","148","52","34","213","133","96","27","38","19","116","40","175","20","213","9","199","246","197","76","238","207","222","8","192","109","135","222","187","142","45","15","196","247","43","108","81","233","117","59","140","95","8","172","178","73","74","161","39","227.5","227.5"
"5","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","127","218","150","40","110","74","99","154","246","20","252","239","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","68","46","74","78","87","135","195","94","133","199","16","70","88","236.25","236.25"
"6","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","99","154","246","20","120","239","200","94","202","11","203","193","238","154","118","72","157","10","62","171","161","68","46","74","78","87","135","195","94","133","199","16","70","88","0.0","0.0"
"7","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","99","154","246","20","252","239","200","94","202","11","203","129","60","154","118","72","120","10","62","171","161","68","46","74","78","87","135","195","94","133","99","16","70","88","0.0","0.0"
"8","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","99","154","246","20","252","239","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","68","46","74","78","87","135","195","94","133","199","16","70","88","0.0","0.0"
"9","232","154","209","147","133","137","223","191","144","214","8","117","78","191","45","188","225","126","243","78","215","114","154","156","155","183","205","2","49","227","218","150","40","110","74","99","154","246","20","252","239","200","94","202","11","203","193","60","154","118","72","157","10","62","171","161","68","46","74","78","87","135","195","94","133","199","16","70","88","459.25","459.25"
