"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","243","203","12","65","204","58","135","151","89","127","151","169","102","50","221","50","20","120","158","171","124","196","247","110","141","134","214","241","179","160","219","187","118","16","60","56","52","236","131","219","30","175","17","174","123","119","7","233","218","208","62","123","97","218","204","153","175","105","34","33","103","210","31","58","148","221.8375","198.5","267.5","35.0","327.0","90.25","268.0","388.75","354.75","303.25","62.75","241.0","382.75","170.75","162.5","168.0","222.5","268.75","365.75","12.5","146.5"
"1","243","203","20","65","3","58","135","151","89","127","151","169","102","50","221","50","20","24","158","171","124","196","247","110","141","134","214","241","179","160","219","187","118","16","60","56","52","236","131","219","30","175","17","174","123","119","7","233","218","208","62","123","97","218","204","153","175","105","34","33","103","182","31","58","148","185.7","365.5","228.0","252.0","93.75","53.75","240.5","365.0","135.75","131.75","131.75","65.75","26.25","177.75","205.0","213.0","242.0","255.25","176.25","61.25","293.75"
"2","243","203","20","65","3","58","135","151","89","127","151","169","102","50","221","50","20","24","158","171","124","196","247","110","141","134","214","52","179","160","219","187","118","16","60","56","52","236","131","219","30","175","17","174","123","119","7","233","218","208","62","123","97","218","204","153","175","105","34","33","103","182","31","58","148","148.525","173.0","423.0","22.25","24.0","97.75","44.25","137.25","197.5","24.25","341.5","78.0","373.75","134.25","36.5","81.0","122.75","78.5","299.5","155.5","126.0"
"3","243","203","20","65","3","58","135","151","89","127","151","169","102","50","221","50","20","24","158","171","124","196","247","110","141","134","214","241","179","160","219","187","118","16","60","56","52","8","131","219","30","175","17","174","123","119","7","233","218","208","62","123","97","218","204","153","175","105","34","33","103","182","31","58","148","187.55","249.25","254.5","301.75","211.5","162.25","252.5","187.0","161.5","115.5","186.75","280.0","196.0","325.75","119.5","156.25","0.0","122.5","173.75","168.75","126.0"
"4","243","203","20","65","3","58","135","151","89","127","151","169","102","50","221","50","20","24","158","171","124","196","247","110","141","134","214","241","179","160","219","187","118","16","60","56","52","236","131","219","30","175","17","174","123","119","7","233","218","208","62","123","97","218","204","153","175","105","34","33","33","182","219","58","148","139.1875","121.5","208.0","190.5","248.75","79.0","277.5","0.0","118.5","0.0","0.0","151.25","264.75","284.5","0.0","83.25","345.75","148.0","222.5","40.0","0.0"
"5","69","36","68","197","7","101","144","235","193","194","196","116","108","103","147","35","197","132","254","238","54","99","62","56","171","70","18","66","188","27","2","60","124","112","195","39","220","49","185","79","220","174","12","48","114","52","199","144","124","211","7","130","203","81","31","206","38","229","142","189","200","152","84","154","188","141.825","223.5","136.75","168.5","142.75","131.75","85.0","177.75","112.0","103.0","79.75","121.0","188.5","20.75","171.5","127.0","224.0","182.0","184.0","142.0","115.0"
"6","69","36","68","197","7","101","144","235","193","194","196","116","108","103","147","35","197","132","254","238","54","99","62","56","217","70","18","66","188","27","2","60","124","112","195","177","220","49","185","79","220","174","12","48","211","52","199","144","124","211","7","130","203","81","31","206","38","229","142","189","200","152","84","154","188","139.425","146.75","92.0","162.0","202.5","92.75","128.75","126.75","150.25","155.5","140.75","27.25","57.0","232.0","148.0","197.5","154.0","216.25","85.75","137.25","135.5"
"7","69","36","68","197","7","101","144","235","193","194","196","116","108","103","147","35","197","132","254","238","54","99","62","56","217","70","18","66","188","27","2","60","124","112","195","177","220","49","185","79","220","174","12","48","211","52","199","144","124","211","7","130","203","81","31","206","38","229","142","189","200","152","84","154","188","128.3625","181.25","154.0","138.25","134.75","143.75","18.25","49.0","178.75","139.5","154.75","67.0","157.75","102.25","131.5","170.5","163.5","83.0","113.25","173.0","113.25"
"8","69","36","68","197","7","101","144","235","193","194","196","116","108","103","147","35","197","132","254","238","54","99","62","56","217","70","18","66","188","27","2","60","124","112","195","177","220","49","185","79","220","174","12","48","211","52","199","144","124","211","7","130","203","81","31","206","38","229","142","189","200","152","84","154","188","147.025","129.0","150.75","106.25","98.5","213.75","176.0","169.5","164.75","180.75","136.5","127.0","109.0","139.0","64.75","193.5","144.25","130.75","184.25","185.0","137.25"
"9","69","36","68","197","7","101","144","235","193","194","196","116","108","103","147","35","197","132","254","238","54","99","62","56","217","70","18","66","188","27","2","60","124","112","195","177","220","49","185","79","220","174","12","48","211","52","199","144","124","211","7","130","203","81","31","206","38","229","142","189","200","152","84","154","188","132.4125","161.5","167.5","210.25","105.25","124.0","119.25","184.75","85.25","53.75","169.0","198.0","52.5","120.0","115.0","122.25","101.25","137.5","122.5","241.5","57.25"
