"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","5","6","218","211","95","59","57","157","193","85","128","203","250","83","77","78","198","114","150","169","164","126","8","32","22","109","225","168","85","164","247","178","230","0","190","58","128","6","239","228","151","138","254","26","182","214","101","157","150","168","149","128","138","100","40","219","37","172","88","149","75","165","255","213","16","259.8125","311.75","369.0","115.25","506.5","203.75","415.0","539.0","229.0","276.75","-344.0","251.25","120.75","376.75","349.5","390.0","115.75","197.0","428.25","311.0","34.0"
"1","5","6","218","211","95","59","157","42","193","85","128","203","250","83","77","78","198","114","150","169","164","126","8","32","22","109","225","168","85","164","247","178","230","0","13","58","128","6","239","228","151","138","254","26","182","214","101","157","150","210","149","128","138","100","40","219","37","172","88","149","75","165","255","213","16","307.7375","132.0","333.75","172.75","621.75","203.0","296.75","289.5","186.25","36.5","323.5","680.5","327.5","275.75","479.25","417.5","-50.5","454.75","279.25","225.0","470.0"
"2","5","6","218","211","95","59","57","42","193","85","128","203","250","83","77","78","198","114","150","136","164","126","8","32","22","109","225","168","85","164","247","178","230","0","13","58","128","6","239","228","151","138","254","26","188","214","101","157","150","210","149","128","138","100","40","219","37","172","88","149","75","165","255","213","16","270.8","308.75","363.25","125.25","481.25","229.25","230.5","203.5","224.0","507.5","142.0","208.0","363.0","369.5","222.5","210.25","108.5","276.5","415.5","181.75","245.25"
"3","5","6","218","211","95","59","57","42","193","85","128","203","250","83","77","78","198","114","150","169","164","126","8","32","22","109","225","168","85","164","247","178","230","0","13","58","128","6","239","228","151","138","254","26","182","214","101","157","150","210","149","128","138","100","40","219","37","172","88","149","75","165","255","213","16","252.0","374.0","313.25","278.75","139.25","237.0","246.25","267.25","189.25","270.0","325.75","345.5","547.5","327.75","304.5","173.0","-113.0","276.25","101.75","222.5","213.5"
"4","5","6","218","211","95","59","57","42","193","85","128","203","250","83","77","78","198","114","150","169","164","126","8","32","22","109","225","168","85","164","247","178","230","0","13","58","128","6","239","228","151","138","254","26","182","214","101","157","150","210","149","128","138","100","40","219","37","172","88","149","75","165","255","213","16","306.5375","177.75","256.25","333.5","256.5","311.25","247.25","211.0","462.25","298.75","280.0","157.75","553.75","313.25","187.0","694.25","228.0","329.0","509.5","68.25","255.5"
"5","2","247","14","114","165","29","186","9","189","50","71","49","100","50","97","175","185","217","168","68","7","198","17","74","33","138","167","254","149","202","115","133","27","123","56","38","30","7","108","186","171","189","102","53","59","131","24","253","236","228","4","41","172","77","96","151","221","179","105","39","135","169","4","116","105","10.225","0.0","0.0","0.0","0.0","171.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33.25"
"6","2","247","14","114","165","29","186","9","189","50","71","49","100","50","97","175","185","217","168","250","7","198","17","74","47","138","167","254","149","202","115","133","27","123","56","38","30","200","108","186","170","189","102","53","59","131","24","253","236","228","4","41","172","77","96","151","221","179","105","39","135","169","4","116","105","129.25","260.75","174.0","0.0","190.25","230.25","0.0","4.75","0.0","447.5","212.25","277.5","0.0","391.0","390.5","6.25","0.0","0.0","0.0","0.0","0.0"
"7","2","247","14","114","165","29","186","9","189","50","71","49","100","50","97","175","185","217","168","250","7","198","17","74","33","138","167","254","149","202","115","133","27","123","56","38","30","7","108","186","170","189","102","53","167","131","24","253","236","228","4","41","172","77","96","151","80","179","105","39","135","169","4","116","105","121.2125","214.5","277.0","0.0","264.75","370.5","208.25","13.5","0.0","0.0","203.0","267.25","0.0","26.75","148.25","3.25","251.25","0.0","176.0","0.0","0.0"
"8","2","247","14","114","165","29","186","9","189","50","71","49","100","50","97","175","185","217","168","250","7","198","17","74","33","138","167","254","149","202","115","133","27","123","56","38","30","7","108","186","170","189","102","53","59","131","24","253","236","228","4","41","172","77","96","151","119","179","105","39","135","169","4","116","105","130.5625","15.25","0.0","197.0","212.25","180.75","451.5","127.75","246.5","218.75","3.25","0.0","347.25","341.75","52.5","0.0","98.75","11.5","0.0","0.0","106.5"
"9","2","247","14","114","165","29","186","9","189","50","71","49","100","50","97","175","185","217","168","250","7","198","17","74","33","138","167","254","149","202","115","133","27","123","22","38","30","7","108","186","170","189","102","53","59","131","24","253","236","228","4","41","172","77","96","151","221","179","105","39","135","169","4","116","105","126.275","161.75","0.0","0.0","158.5","0.0","0.0","0.0","259.25","439.25","0.0","370.25","289.0","15.0","0.0","243.25","0.0","0.0","403.5","13.5","172.25"
