"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","185","235","170","135","130","132","127","195","80","189","16","21","135","164","6","121","98","150","167","232","235","93","168","70","219","175","86","198","64","126","157","141","210","61","54","70","19","49","161","141","157","55","247","28","2","217","70","241","212","148","136","227","228","3","23","31","248","95","77","125","231","157","7","178","6","153.95","281.75","124.5","160.5","5.75","355.5","225.75","442.25","67.25","12.75","257.0","109.75","69.0","170.0","46.5","91.5","80.75","148.75","235.25","24.0","170.5"
"1","185","235","170","135","130","132","127","195","80","189","16","21","135","164","6","121","98","93","37","232","235","93","168","70","219","175","86","198","64","126","157","141","210","61","54","70","19","49","161","141","157","55","247","28","2","217","70","241","212","148","136","227","228","3","23","31","248","95","77","125","231","157","7","178","6","31.6125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","217.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","414.5"
"2","185","235","170","135","130","132","127","195","80","189","16","21","135","164","6","121","98","93","167","232","235","93","168","70","219","175","86","198","64","126","157","141","210","61","54","134","19","49","161","141","157","55","247","28","2","217","70","241","212","148","136","227","228","3","23","31","248","95","77","125","231","157","7","178","6","160.3875","98.5","64.5","158.0","186.75","129.5","140.0","160.25","262.0","256.5","54.5","60.75","97.5","170.0","44.25","408.25","188.0","137.75","231.25","200.0","159.5"
"3","185","235","170","135","130","132","127","195","80","189","16","21","135","164","6","121","98","93","167","232","235","93","168","70","219","175","86","198","64","126","157","141","210","61","54","70","19","49","161","141","157","155","247","28","2","217","70","241","212","148","136","227","228","3","23","31","248","95","77","125","231","157","7","178","6","141.8","67.75","413.5","197.5","1.75","107.75","173.25","77.75","142.0","46.25","80.25","226.5","39.0","151.0","156.75","52.5","63.75","89.75","179.25","214.25","355.5"
"4","185","235","170","135","130","132","127","195","80","189","16","21","135","164","6","121","98","93","167","232","235","93","168","70","219","175","86","198","64","126","157","141","210","61","54","70","19","49","84","141","157","55","247","28","2","217","70","241","212","148","136","49","228","3","23","31","248","95","77","125","231","157","7","178","6","126.45","100.25","142.5","142.25","161.75","26.0","122.5","33.5","206.25","159.5","132.5","75.0","258.25","106.75","51.5","198.0","173.0","93.0","54.5","228.0","64.0"
"5","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","140","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","181","237","124","42","155","26.5","0.0","0.0","0.0","0.0","0.0","0.0","36.5","248.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","245.25"
"6","171","31","78","88","153","122","145","221","79","126","164","152","60","214","47","5","183","35","16","130","20","122","252","239","142","153","147","142","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","13","128","197","166","150","36","9","185","177","230","40","132","12","181","237","124","42","155","144.7125","236.0","0.0","178.75","0.0","219.5","21.5","0.0","129.5","169.75","399.25","7.0","228.75","0.0","345.75","219.75","201.5","0.0","181.5","189.5","166.25"
"7","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","181","237","23","42","155","4.7375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.75","0.0","55.0","0.0","0.0"
"8","171","142","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","181","237","124","42","155","162.4125","0.0","303.5","156.5","0.0","4.0","359.5","6.75","0.0","152.25","304.75","403.25","16.25","362.25","200.25","164.75","167.0","219.75","213.5","5.0","209.0"
"9","171","31","78","88","153","122","145","221","79","126","164","152","60","13","47","5","183","35","16","130","20","122","252","239","142","153","147","79","103","101","245","221","102","41","133","189","33","220","231","167","158","35","50","81","187","207","237","228","128","197","166","150","36","9","185","177","230","40","132","12","181","237","124","42","155","166.075","176.5","53.75","182.75","359.5","355.5","194.0","187.25","0.0","393.5","0.0","94.5","151.5","375.0","0.0","187.25","179.0","160.75","0.0","185.5","85.25"
"10","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","46","30","119","143","194","167","158","45","210","179","53","28","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","194","76","215","149.2625","235.75","259.75","668.0","196.25","210.25","240.5","0.0","0.0","0.0","0.0","0.0","1.5","236.5","0.0","460.0","0.0","0.0","241.5","0.0","235.25"
"11","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","224","30","119","143","194","167","161","45","210","179","53","28","104","62","97","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","67.2125","0.0","241.0","0.0","0.0","0.0","0.0","0.0","332.25","27.5","245.0","0.0","48.0","0.0","223.0","0.0","0.0","0.0","0.0","0.0","227.5"
"12","115","111","95","9","127","32","252","64","240","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","224","30","119","143","194","167","65","45","210","179","53","28","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","182.725","246.5","18.5","381.25","655.25","0.0","494.25","248.0","0.0","238.0","424.5","0.0","0.0","0.0","237.0","229.5","0.0","248.5","0.0","0.0","233.25"
"13","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","244","111","3","122","223","182","226","134","86","171","224","30","119","143","194","167","65","45","210","179","53","187","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","145.8875","0.0","449.75","7.5","482.25","245.5","0.0","0.0","0.0","0.0","0.0","0.0","254.25","339.5","0.0","216.75","215.25","7.75","482.75","216.5","0.0"
"14","128","111","95","9","127","32","252","64","141","183","210","69","195","215","64","255","111","3","122","223","182","226","134","86","171","224","114","119","244","194","167","65","45","210","179","53","28","104","62","201","113","217","25","172","196","166","97","159","208","18","161","110","207","36","142","160","104","79","24","159","101","202","76","76","215","182.2875","0.0","0.0","153.25","473.0","0.0","233.75","0.0","0.0","225.75","463.0","246.5","248.75","244.75","439.75","0.0","0.0","426.0","259.5","0.0","231.75"
"15","243","0","118","150","198","78","220","201","204","229","106","229","219","77","43","134","209","225","240","211","170","96","31","188","153","47","104","119","76","4","104","132","7","14","165","148","254","27","170","88","98","119","40","204","240","73","99","13","146","204","103","2","144","50","231","200","104","168","72","242","64","90","198","59","204","62.75","11.75","2.75","231.75","129.5","0.0","0.0","23.0","92.75","110.5","84.5","19.75","22.0","28.25","94.5","25.75","104.0","38.0","81.75","50.5","104.0"
"16","243","0","118","150","198","78","220","201","204","177","106","229","219","77","43","11","209","225","240","211","170","96","31","188","153","47","104","119","76","4","104","132","7","14","165","148","254","27","170","88","98","119","40","204","240","73","99","13","146","204","103","2","144","50","231","200","104","168","72","242","64","90","198","59","204","103.5125","309.0","49.75","124.5","205.25","123.25","12.5","166.25","70.0","12.0","0.0","41.75","6.5","191.75","18.25","280.75","107.75","16.0","22.25","45.0","267.75"
"17","243","0","118","150","198","78","220","201","204","229","106","229","219","77","43","202","209","225","240","211","170","96","31","188","153","47","104","119","76","4","104","132","7","14","165","148","254","27","170","88","98","119","40","204","240","73","99","13","146","204","103","235","144","50","231","200","104","168","72","242","64","90","198","59","204","59.25","50.5","72.5","148.75","141.75","0.0","37.0","55.25","91.75","0.0","37.25","22.0","63.0","41.5","107.25","89.5","49.0","114.25","24.0","16.75","23.0"
"18","243","0","118","150","198","78","220","201","204","229","106","229","219","77","43","134","209","225","240","211","170","96","31","188","153","47","104","119","76","4","104","132","7","14","165","148","254","27","170","88","98","119","40","204","240","73","99","13","146","204","103","2","144","50","231","200","104","168","72","242","64","90","198","59","204","112.6375","11.25","185.0","22.0","43.5","244.25","50.25","79.0","25.5","237.25","57.0","0.0","157.75","71.75","27.5","203.5","58.5","237.5","36.5","472.75","32.0"
"19","243","0","118","150","198","78","220","201","204","229","106","229","219","77","43","134","209","225","240","211","170","96","31","188","153","47","104","119","76","4","104","122","7","14","165","148","254","27","170","88","98","119","40","204","240","73","99","13","146","204","103","2","144","50","231","200","104","168","72","242","64","90","198","59","204","123.9625","44.25","144.0","284.75","342.75","90.0","92.5","253.5","0.0","99.0","49.5","140.25","215.75","144.0","26.75","87.25","45.75","263.5","11.0","83.25","61.5"
"20","27","157","77","70","62","228","27","251","152","117","234","113","31","238","113","225","134","36","111","144","49","204","131","20","211","183","228","43","182","155","47","122","228","138","140","130","250","161","196","210","214","125","223","255","151","199","121","249","188","205","153","64","167","58","233","200","247","40","93","245","18","190","207","151","253","97.0875","107.75","12.0","181.25","119.0","178.25","0.0","0.0","208.0","238.75","218.25","0.0","109.0","5.25","168.0","13.0","0.0","124.5","10.0","0.0","248.75"
"21","27","157","77","70","62","212","27","251","152","117","234","113","31","238","113","225","134","36","111","144","49","204","131","20","211","183","228","43","182","155","47","122","228","138","140","130","250","161","196","210","214","125","223","255","151","199","121","249","188","205","153","64","167","58","159","200","247","40","93","245","18","75","207","151","253","7.025","0.0","0.0","0.0","0.0","122.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0"
"22","27","157","77","70","62","228","27","251","152","117","234","113","31","238","113","225","134","36","111","144","49","204","131","20","211","183","228","43","182","155","47","122","228","138","193","130","250","161","196","210","214","125","223","255","151","199","121","249","188","205","153","64","167","58","233","200","247","40","93","245","18","190","207","151","253","104.4375","11.0","0.0","0.0","0.0","201.0","124.0","83.0","193.5","350.0","301.5","0.0","196.25","0.0","201.25","0.0","23.75","238.75","0.0","0.0","164.75"
"23","27","157","77","70","62","228","27","251","152","117","234","113","31","238","113","225","134","36","111","144","49","204","131","20","211","183","228","43","182","155","47","122","228","138","140","130","250","161","196","210","214","125","223","255","151","199","121","249","188","205","153","64","167","58","233","200","247","40","93","245","18","190","207","151","253","94.2625","0.0","493.25","9.75","0.0","0.0","0.0","217.75","248.5","0.0","0.0","0.0","217.25","216.75","253.75","0.0","0.0","0.0","40.5","0.0","187.75"
"24","27","157","77","70","62","92","27","251","81","117","234","113","31","238","113","225","134","36","111","144","49","204","131","20","211","183","228","43","182","155","47","122","228","138","140","130","250","161","196","210","214","125","223","255","151","199","121","249","188","205","153","64","167","58","233","200","247","40","93","245","18","190","207","151","253","86.5375","0.0","195.75","167.0","0.0","140.75","176.5","0.0","210.5","159.0","9.0","0.0","0.0","0.0","231.25","9.75","0.0","222.0","209.25","0.0","0.0"
"25","30","158","209","135","251","61","76","140","214","164","190","146","43","90","91","175","233","121","227","196","136","28","155","196","18","101","129","148","225","60","108","7","243","163","152","71","103","134","160","32","37","176","237","146","145","20","117","23","112","234","14","40","216","91","187","192","119","56","45","199","221","32","224","142","37","40.75","17.0","171.5","0.0","37.0","0.0","10.0","0.0","35.25","0.0","0.0","0.0","19.75","151.75","28.75","106.0","76.5","0.0","82.75","22.25","56.5"
