"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","40","113","136","242","153","99","10","183","226","244","8","207","192","215","228","125","125","84","162","145","244","148","29","127","23","76","212","217","78","218","166","199","196","13","17","44","154","234","64","170","247","148","230","165","82","169","35","64","47","19","41","197","49","196","122","219","123","7","119","16","138","148","73","151","216","133","37","209","211","147.6125","175.5","196.75","167.75","290.75","0.0","161.25","261.0","80.75","474.25","0.0","0.0","0.0","98.75","217.0","215.5","231.0","0.0","254.25","15.25","112.5"
"1","40","113","136","242","153","99","10","183","226","244","8","207","192","215","1","125","125","84","162","145","244","148","29","127","23","76","212","217","78","218","166","199","5","13","17","44","154","234","64","170","247","148","230","165","82","169","35","64","47","19","41","197","49","196","122","219","123","7","119","16","138","148","73","151","216","133","37","209","211","102.1375","200.75","220.5","44.5","0.0","0.0","219.5","217.5","6.75","225.5","0.0","31.25","371.25","30.75","198.25","0.0","0.0","6.75","7.75","211.75","50.0"
"2","40","113","136","242","153","99","10","183","226","244","8","207","192","215","228","125","125","84","162","145","244","148","29","127","23","76","212","217","78","218","166","199","5","13","17","44","154","234","64","170","247","148","230","165","82","169","35","64","47","19","41","197","49","196","122","219","123","7","119","16","138","148","73","151","216","133","37","209","211","164.6","243.5","0.0","352.75","237.25","0.0","11.75","228.0","242.75","421.0","83.0","111.5","246.25","185.0","144.0","0.0","179.75","199.0","114.0","32.75","259.75"
"3","40","54","136","242","153","99","10","183","226","244","8","207","192","215","228","125","125","84","162","145","244","148","29","127","23","76","212","217","78","218","166","199","5","13","17","44","154","234","64","170","247","148","230","165","82","169","35","64","47","15","41","197","49","196","122","219","123","7","119","16","138","148","73","151","216","133","37","66","211","150.6875","80.0","450.0","209.25","276.75","80.0","110.5","0.0","201.0","162.75","0.0","236.5","234.0","133.75","0.0","236.0","190.0","0.0","0.0","0.0","413.25"
"4","40","113","136","242","153","99","10","183","226","244","8","207","192","215","228","125","125","84","162","145","244","148","29","127","23","76","212","217","78","218","166","199","5","13","230","44","154","234","64","170","247","148","230","165","82","169","35","64","47","19","41","197","84","196","122","219","123","7","119","16","138","148","73","151","216","133","37","209","211","142.575","82.25","404.0","221.25","159.25","152.5","0.0","393.25","21.75","179.75","283.25","186.5","180.25","254.75","2.5","0.0","242.25","0.0","29.75","55.25","3.0"
"5","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","221","183","11","3","130","107","16","201","69","154.8625","244.0","23.25","221.25","157.5","147.25","0.0","221.5","244.0","163.5","98.5","137.0","173.75","137.0","202.75","163.25","182.25","0.0","200.5","213.0","167.0"
"6","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","221","183","11","3","130","107","16","201","69","117.75","0.0","129.0","32.5","104.0","99.25","174.75","18.75","0.0","208.5","107.5","77.0","167.75","215.75","371.5","102.25","26.25","255.0","92.25","109.5","63.5"
"7","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","178","108","158","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","20","44","63","87","180","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","221","183","11","3","130","107","16","201","69","178.175","0.0","307.75","39.5","9.75","372.25","230.75","96.0","442.5","247.0","192.5","0.0","0.0","231.75","0.0","350.25","278.25","200.75","299.75","0.0","264.75"
"8","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","221","183","11","3","130","107","16","201","69","137.475","0.0","92.75","393.25","141.0","206.25","178.5","0.0","233.75","103.75","153.25","348.25","58.5","0.0","146.25","172.25","0.0","143.75","184.25","102.75","91.0"
"9","95","42","38","188","132","24","16","170","86","181","155","11","212","42","65","192","32","88","151","108","230","38","87","176","177","227","87","25","92","61","24","7","77","211","111","238","20","44","63","87","181","48","19","68","41","168","248","86","218","177","58","186","176","0","30","85","237","212","231","98","221","183","11","3","130","107","16","201","69","150.5","256.75","120.0","102.75","197.0","363.75","145.75","158.0","115.5","3.5","56.5","135.75","138.0","142.25","145.5","190.0","351.25","146.25","160.25","81.25","0.0"
