"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit"
"0","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","58","4","54","177","52","243","199","213","90","127","198.55","161.75","460.0","2.5","46.75","0.0","333.5","361.0","127.75","492.25","0.0"
"1","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","178","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","91","100","40","58","4","54","177","52","243","199","213","90","127","189.55","106.5","0.0","161.25","209.75","446.75","193.5","160.25","226.5","98.75","292.25"
"2","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","58","4","54","177","52","243","199","213","90","127","168.425","0.0","352.5","30.0","0.0","256.25","382.75","0.0","76.75","414.0","172.0"
"3","88","39","23","98","121","9","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","205","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","58","4","54","177","52","243","199","213","90","127","229.775","205.75","393.25","250.5","392.25","8.5","142.0","55.5","259.75","187.75","402.5"
"4","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","21","100","40","58","4","54","177","52","243","199","213","90","127","201.575","130.5","392.5","123.75","231.75","121.25","209.25","190.5","60.25","281.0","275.0"
"5","219","241","61","63","27","67","21","98","40","119","67","187","210","139","122","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","115","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","63","54","213","73","82","149.75","0.0","241.75","466.75","677.25","10.5","0.0","7.75","0.0","93.5","0.0"
"6","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","5","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","63","54","123","73","82","109.45","221.0","0.0","202.75","0.0","0.0","444.25","6.75","0.0","219.75","0.0"
"7","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","63","54","213","73","82","128.5","0.0","0.0","10.75","422.0","0.0","426.5","7.25","0.0","205.25","213.25"
"8","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","70","170","211","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","63","54","213","73","82","27.3","0.0","0.0","0.0","0.0","242.0","0.0","31.0","0.0","0.0","0.0"
"9","219","241","61","63","27","67","243","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","63","54","213","73","82","164.475","230.25","412.5","208.75","235.25","0.0","203.5","12.75","0.0","235.25","106.5"
