"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit"
"0","162","59","165","162","112","122","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","222","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","244","85","133","233","128","5","195","140","111","54","197","199","128","164","7","143.0","169.5","0.0","81.0","135.75","235.0","0.0","359.0","237.75","0.0","212.0"
"1","162","59","165","162","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","222","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","244","85","133","233","128","5","195","140","111","54","197","199","128","164","7","163.425","322.25","166.25","321.75","181.25","145.75","96.0","0.0","236.25","164.75","0.0"
"2","162","59","165","162","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","222","217","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","29","85","133","233","128","5","195","140","111","54","197","199","128","164","7","197.7","181.25","395.75","202.75","212.5","135.75","101.25","187.75","78.25","344.75","137.0"
"3","162","59","165","162","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","120","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","244","112","133","233","128","5","195","140","111","54","197","199","128","164","7","183.225","114.0","0.0","483.75","134.25","206.75","231.25","249.75","227.5","185.0","0.0"
"4","162","59","165","162","112","25","133","30","133","137","172","61","218","28","254","195","56","58","80","123","221","90","11","222","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","237","202","162","35","248","60","248","4","18","187","244","85","133","233","128","5","195","140","111","54","197","199","128","164","7","190.675","131.5","231.0","80.0","281.25","377.75","64.25","237.75","0.0","260.25","243.0"
"5","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","201","23","119","237","81","41","184","110","167","227","88","245","83","111","101","92.05","161.25","0.0","1.5","0.0","46.0","204.25","0.0","206.0","57.5","244.0"
"6","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","130","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","184","110","167","227","88","206","83","111","101","238.05","339.25","449.5","68.5","535.0","0.0","115.75","145.75","39.25","406.5","281.0"
"7","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","174","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","184","110","167","227","88","206","83","111","101","284.2","376.25","256.75","275.0","138.75","233.5","310.75","99.0","238.5","256.0","657.5"
"8","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","184","110","167","227","88","206","83","111","101","154.025","0.0","219.0","0.0","647.0","6.25","212.0","213.5","7.5","0.0","235.0"
"9","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","149","120","231","40","107","23","119","237","81","41","184","110","167","227","88","206","83","111","101","154.0","229.25","222.75","238.5","0.75","206.0","402.75","0.0","0.0","0.0","240.0"
