"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit"
"0","107","174","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","130","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","128","237","81","41","184","110","167","227","88","206","83","111","101","138.3","118.0","0.0","388.25","238.5","219.25","0.0","0.0","213.5","205.5","0.0"
"1","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","184","110","172","227","88","206","83","111","101","124.425","417.75","0.0","0.0","0.0","231.5","187.5","0.0","225.75","9.25","172.5"
"2","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","137","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","60","231","40","107","23","119","171","81","41","184","110","167","227","88","206","83","111","101","67.125","209.25","190.25","0.0","0.0","17.75","0.0","7.5","16.0","230.5","0.0"
"3","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","116","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","19","110","167","227","88","206","83","111","101","137.075","0.0","0.0","470.75","64.25","0.0","0.0","231.5","0.0","372.75","231.5"
"4","107","38","225","13","210","183","96","59","68","105","137","246","243","7","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","184","110","167","227","88","206","83","111","101","203.85","5.0","0.0","477.0","210.5","1.5","445.5","208.25","166.5","357.5","166.75"
"5","196","138","34","243","116","144","39","108","126","110","103","100","22","46","192","193","193","165","207","101","146","237","37","189","10","17","37","142","208","81","160","210","36","153","120","200","89","87","222","73","180","126","171","49","93","140","72","165","252","226","3","60","149","202","76","12","159","185","114","169","79","132","51","17","107","245","121","121","85","68.625","10.0","56.75","48.5","0.0","66.5","83.75","58.5","232.75","43.75","85.75"
"6","196","138","34","243","116","144","39","108","126","110","103","100","182","46","192","193","193","165","207","101","146","237","37","189","10","17","37","142","208","81","160","210","36","153","120","200","89","87","222","73","180","126","171","49","93","140","72","165","252","226","3","60","149","202","76","12","159","185","114","169","79","132","51","17","21","245","121","121","85","82.65","0.0","225.25","0.0","0.0","143.0","340.5","0.0","117.75","0.0","0.0"
"7","196","138","34","243","6","144","39","108","126","110","103","100","182","46","192","193","193","165","207","101","146","237","37","189","10","17","37","142","208","81","160","210","36","153","120","200","89","87","222","73","180","255","171","210","93","140","72","165","252","226","3","60","149","202","76","12","159","185","114","169","79","132","51","17","107","245","121","121","85","78.5","60.5","92.0","93.75","98.25","118.25","46.0","91.0","131.5","0.0","53.75"
"8","196","138","34","243","116","144","39","108","126","110","103","100","182","46","192","193","193","165","207","101","146","237","37","189","10","17","37","142","208","81","160","210","36","153","120","200","89","87","222","73","180","126","171","49","93","67","72","165","252","226","3","60","149","202","76","12","159","185","114","169","79","132","51","17","107","245","121","121","85","40.5","68.0","48.0","13.25","0.0","41.0","9.75","33.75","81.0","63.5","46.75"
"9","196","138","34","243","116","144","39","108","126","110","103","100","182","46","251","193","193","165","207","101","146","237","111","189","10","17","37","142","208","81","160","210","36","153","120","200","89","87","222","73","180","126","171","49","93","140","72","165","252","226","3","60","149","202","76","12","159","185","114","169","79","132","51","17","107","245","121","121","85","36.825","37.0","41.0","34.0","70.5","6.25","0.0","17.5","0.0","0.0","162.0"
"10","175","195","239","150","124","24","33","86","221","26","193","130","144","194","142","201","50","101","255","106","220","199","138","198","23","144","195","130","234","118","99","100","92","239","4","80","21","78","167","53","37","189","18","138","171","228","90","182","221","6","118","114","20","137","226","223","37","204","138","217","143","235","198","18","190","212","244","237","12","59.975","69.5","43.25","80.75","125.25","55.25","82.75","0.0","39.75","20.75","82.5"
"11","175","195","239","150","124","24","33","86","221","26","193","130","144","194","142","201","50","101","255","106","220","199","138","198","23","144","195","130","234","238","99","100","92","7","4","80","21","78","167","53","37","189","18","72","171","228","90","182","221","6","118","114","20","137","226","223","37","204","138","217","143","235","198","18","190","212","244","237","12","90.325","69.25","113.75","113.5","177.25","49.25","37.5","67.0","68.25","172.0","35.5"
"12","175","195","239","150","124","24","33","86","221","26","193","130","144","194","142","201","50","101","255","106","220","199","138","198","23","144","195","130","234","238","99","100","92","239","4","80","21","78","167","53","82","189","18","138","171","228","90","182","221","6","118","114","20","137","226","223","37","204","138","217","143","235","198","18","190","212","244","237","12","67.5","83.0","81.75","50.25","76.75","42.25","73.5","56.5","57.5","68.5","85.0"
"13","175","195","239","150","124","24","33","86","221","26","193","130","144","194","142","201","50","101","255","106","220","199","138","198","23","144","195","130","234","238","99","100","92","239","4","80","21","78","167","53","37","189","18","138","171","228","90","182","65","6","118","114","20","137","226","223","37","204","138","217","143","235","198","18","190","212","244","237","12","57.3","36.75","64.75","15.5","23.5","81.0","0.0","73.75","71.0","132.25","74.5"
"14","175","195","239","150","124","24","33","86","221","26","193","130","144","194","142","48","50","11","255","106","220","199","138","198","23","144","195","130","234","238","99","100","92","239","4","80","21","78","167","53","37","189","18","138","171","228","90","182","221","6","118","114","20","137","226","223","37","204","138","228","143","235","198","18","190","212","244","237","12","47.1","57.5","86.0","20.5","81.75","46.25","24.5","20.75","72.0","20.5","41.25"
"15","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","141.85","208.75","349.75","230.5","204.25","170.25","0.0","0.0","17.25","0.0","237.75"
"16","219","241","61","63","27","96","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","139","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","147.25","0.0","235.75","12.5","0.0","32.5","193.75","29.25","243.5","482.75","242.5"
"17","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","191.225","5.75","650.5","267.0","477.25","0.0","3.5","468.75","0.0","34.5","5.0"
"18","219","241","61","63","27","36","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","138","99","90","202","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","143.15","207.25","0.0","418.0","0.0","0.0","213.25","1.0","0.0","349.75","242.25"
