"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit"
"0","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","58","4","54","177","52","243","199","213","90","127","178.725","163.0","118.0","0.0","203.5","148.75","236.0","242.75","246.5","193.25","235.5"
"1","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","58","4","54","177","52","243","199","213","90","127","129.875","246.75","298.75","167.0","76.5","237.5","259.5","0.0","5.75","7.0","0.0"
"2","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","240","148","234","127","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","58","4","54","177","52","243","199","213","90","127","119.925","0.0","0.0","219.5","207.25","71.25","245.0","198.5","34.25","0.0","223.5"
"3","88","39","23","98","130","53","119","181","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","72","4","54","177","52","243","199","213","90","127","139.275","175.25","236.25","0.0","216.0","169.0","0.0","188.0","33.5","183.25","191.5"
"4","88","39","23","98","130","53","119","50","2","197","183","50","149","144","25","198","205","28","223","57","243","27","101","186","61","117","116","53","154","214","157","84","86","148","234","8","193","142","100","234","43","60","52","141","173","80","231","108","240","146","206","86","114","100","40","58","4","54","118","52","243","199","213","90","127","163.975","203.75","8.25","124.0","226.25","159.25","437.5","180.75","300.0","0.0","0.0"
"5","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","254","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","227","88","206","83","111","132.9","0.0","225.5","428.5","241.0","193.75","0.0","48.25","0.0","192.0","0.0"
"6","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","216","227","110","231","23","120","231","40","107","23","119","237","81","41","227","88","206","83","111","120.225","341.25","242.75","4.75","0.0","159.0","183.75","33.75","237.0","0.0","0.0"
"7","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","79","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","227","88","206","83","111","92.1","0.0","0.0","0.0","176.5","202.25","32.0","216.25","0.0","8.5","285.5"
"8","107","38","225","13","210","183","96","59","68","105","137","246","243","203","149","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","106","3","212","143","167","220","235","104","195","98","30","227","110","231","23","120","231","40","107","23","119","237","81","41","227","88","206","83","111","113.25","0.0","259.25","0.0","304.75","0.0","0.0","0.0","173.25","161.5","233.75"
"9","107","38","225","13","210","183","96","59","68","105","137","246","243","203","41","251","192","122","184","129","65","62","214","17","112","132","193","65","72","40","251","196","216","2","165","225","213","3","212","143","167","220","235","104","195","98","30","227","110","231","23","232","231","40","107","23","119","237","81","41","227","88","206","83","111","110.275","620.25","66.5","0.0","0.0","0.0","30.0","0.0","3.75","160.5","221.75"
