"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit"
"0","162","59","165","162","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","222","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","244","85","133","233","128","5","195","140","111","54","197","199","128","164","7","151.7","0.0","0.0","28.25","194.25","158.0","136.75","371.0","0.0","181.75","447.0"
"1","162","59","165","36","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","209","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","244","85","133","233","128","5","195","140","111","54","197","199","73","164","7","258.6","414.0","83.0","321.25","311.75","53.25","0.0","352.0","356.5","238.0","456.25"
"2","162","59","165","162","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","222","61","132","115","131","171","20","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","244","85","133","233","128","5","195","140","111","54","197","199","128","164","7","224.9","0.0","487.5","238.75","439.0","394.75","130.5","0.0","0.0","335.25","223.25"
"3","162","59","165","162","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","222","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","130","158","202","162","35","248","60","248","4","18","187","244","85","133","127","128","5","195","140","111","54","197","199","128","164","7","166.125","209.5","243.75","165.0","17.5","210.25","222.5","-77.25","373.25","183.5","113.25"
"4","162","59","165","162","112","25","133","30","133","137","172","85","218","28","254","195","56","58","80","123","221","159","11","222","61","132","115","131","171","17","218","132","204","201","38","217","118","62","225","141","83","61","157","250","158","202","162","35","248","60","248","4","18","187","244","85","133","233","128","5","195","140","111","54","197","199","128","164","7","187.9","0.0","0.0","186.0","0.0","0.0","469.0","185.0","241.0","242.75","555.25"
"5","219","202","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","82","77","240","221","51","156","243","238","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","86.575","0.0","241.5","0.0","167.5","0.0","0.0","219.75","237.0","0.0","0.0"
"6","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","176","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","131.675","182.25","218.25","249.25","5.25","0.0","236.5","221.75","203.5","0.0","0.0"
"7","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","24","245","239","151","170","74","233","68","161","225","243","88","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","154.475","0.0","226.75","192.0","201.25","249.5","0.0","228.25","0.0","447.0","0.0"
"8","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","158.4","242.0","175.75","202.5","0.0","337.75","189.0","0.0","207.0","0.0","230.0"
"9","219","241","61","63","27","67","21","98","40","119","67","187","210","139","87","104","136","232","170","253","33","69","36","99","90","33","245","239","151","170","74","233","68","161","225","243","97","77","240","221","51","156","243","37","117","230","140","58","144","101","57","214","198","248","177","246","174","26","38","255","72","253","129","63","54","213","73","82","147","134.375","3.0","672.25","22.0","241.0","171.5","0.0","234.0","0.0","0.0","0.0"
